#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Поплавок,Параметр:Заказной код:Подсоединение
,MPF200-S-0-A-A-0-2N-IP-G-S(21-210),21-210 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(33-330),33-330 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(48-480),48-480 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(60-600),60-600 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(72-720),72-720 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(90-900),90-900 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(120-1200),120-1200 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(180-1800),180-1800 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(300-3000),300-3000 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(500-5000),500-5000 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(750-7500),750-7500 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(1200-12000),1200-12000 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(1800-18000),1800-18000 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(2000-20000),2000-20000 нм³/час,SS316,"NPT 1/2"""
,MPF200-S-0-A-A-0-2N-IP-G-S(3000-30000),3000-30000 нм³/час,SS316,"NPT 1/2"""
