#,Заказной код,Параметр:Заказной код:Расход вкл.,Параметр:Заказной код:Ду трубы (мм),Параметр:Заказной код:Подсоединение
,FS-30RB-25,23-40 л/мин,25,"NPT 1"""
,FS-30RB-32,38-64 л/мин,32,"NPT 1"""
,FS-30RB-38,49-88 л/мин,38,"NPT 1"""
,FS-30RB-50,72-125 л/мин,50,"NPT 1"""
,FS-30RB-64,92-160 л/мин,64,"NPT 1"""
,FS-30RB-76,114-198 л/мин,76,"NPT 1"""
,FS-30RB-100,151-279 л/мин,100,"NPT 1"""
,FS-30RB-150,300-629 л/мин,150,"NPT 1"""
,FS-30RB-200,770-1560 л/мин,200,"NPT 1"""
