#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Расход,Параметр:Заказной код:Материал поплавка
,MBC-V-P-A-1000-C,"1/8"" FNPT*",100-1000 см³/мин,POM Пластик
,MBC-V-P-A-2-LM,"1/8"" FNPT*",0.2-2 нл/мин,POM Пластик
,MBC-V-S-A-4-LM,"1/8"" FNPT*",0.4-4 нл/мин,SS316
,MBC-V-S-A-6-LM,"1/8"" FNPT*",0.6-6 нл/мин,SS316
,MBC-V-P-A-10-LM,"1/8"" FNPT*",1-10 нл/мин,POM Пластик
,MBC-V-P-A-15-LM,"1/8"" FNPT*",1.5-15 нл/мин,POM Пластик
,MBC-V-S-A-25-LM,"1/8"" FNPT*",2.5-25 нл/мин,SS316
,MBC-V-P-A-25-LM,"1/8"" FNPT*",2.5-25 нл/мин,POM Пластик
,MBC-V-P-A-30-LM,"1/8"" FNPT*",3-30 нл/мин,POM Пластик
,MBC-V-S-A-40-LM,"1/8"" FNPT*",4-40 нл/мин,SS316
,MBC-V-P-A-40-LM,"1/8"" FNPT*",4-40 нл/мин,POM Пластик
,MBC-V-S-A-50-LM,"1/8"" FNPT*",5-50 нл/мин,SS316
,MBC-V-S-A-70-LM,"1/8"" FNPT*",7-70 нл/мин,SS316
,MBC-V-S-A-80-LM,"1/8"" FNPT*",8-80 нл/мин,SS316
,MBC-V-S-A-100-LM,"1/8"" FNPT*",10-100 нл/мин,SS316
,MBC-V-P-A-120-LH,"1/8"" FNPT*",12-120 нл/час,POM Пластик
,MBC-V-S-A-250-LH,"1/8"" FNPT*",25-250 нл/час,SS316
,MBC-V-S-A-350-LH,"1/8"" FNPT*",35-350 нл/час,SS316
,MBC-V-P-A-600-LH,"1/8"" FNPT*",60-600 нл/час,POM Пластик
,MBC-V-P-A-1-MH,"1/8"" FNPT*",0.1-1 нм³/час,POM Пластик
,MBC-V-S-A-1.5-MH,"1/8"" FNPT*",0.15-1.5 нм³/час,SS316
,MBC-V-P-A-2-MH,"1/8"" FNPT*",0.2-2 нм³/час,POM Пластик
,MBC-V-S-A-2.5-MH,"1/8"" FNPT*",0.25-2.5 нм³/час,SS316
,MBC-V-S-A-4-MH,"1/8"" FNPT*",0.4-4 нм³/час,SS316
,MBC-V-S-A-5-MH,"1/8"" FNPT*",0.5-5 нм³/час,SS316
,MBC-V-S-A-6-MH,"1/8"" FNPT*",0.6-6 нм³/час,SS316
