#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Резьба
,MF100E-S-G-0-A-A-0-4N-IP-G-S(8-40 L/H),8-40 л/час,Резьбовое,"NPT 1/4"""
,MF100E-S-G-0-A-A-0-4N-IP-G-S(10-70 L/H),10-70 л/час,Резьбовое,"NPT 1/4"""
,MF100E-S-G-0-A-A-0-4N-IP-G-S(15-90 L/H),15-90 л/час,Резьбовое,"NPT 1/4"""
,MF100E-S-G-0-A-A-0-4N-IP-G-S(15-150 L/H),15-150 л/час,Резьбовое,"NPT 1/4"""
