#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Направление потока,
,SF100-A-1R-B-BT,"0,6-4 нл/мин","FNPT 1/2""",Снизу-Вверх,
,SF100-B-1R-B-BT,"1,6-10 нл/мин","FNPT 1/2""",Снизу-Вверх,
,SF100-C-1R-B-BT,2-20 нл/мин,"FNPT 1/2""",Снизу-Вверх,
,SF100-E-1R-B-BT,3-30 нл/мин,"FNPT 1/2""",Снизу-Вверх,
,SF100-F-1R-B-BT,5-50 нл/мин,"FNPT 1/2""",Снизу-Вверх,
,SF100-D-1R-B-BT,6-40 нл/мин,"FNPT 1/2""",Снизу-Вверх,
,SF100-G-1R-B-BT,6-60 нл/мин,"FNPT 1/2""",Снизу-Вверх,
,SF100-A-1R-B-LR,"0,6-4 нл/мин","FNPT 1/2""",Слева-Направо,
,SF100-B-1R-B-LR,"1,6-10 нл/мин","FNPT 1/2""",Слева-Направо,
,SF100-C-1R-B-LR,2-20 нл/мин,"FNPT 1/2""",Слева-Направо,
,SF100-E-1R-B-LR,3-30 нл/мин,"FNPT 1/2""",Слева-Направо,
,SF100-F-1R-B-LR,5-50 нл/мин,"FNPT 1/2""",Слева-Направо,
,SF100-D-1R-B-LR,6-40 нл/мин,"FNPT 1/2""",Слева-Направо,
,SF100-G-1R-B-LR,6-60 нл/мин,"FNPT 1/2""",Слева-Направо,
,SF100-A-1R-B-RL,"0,6-4 нл/мин","FNPT 1/2""",Справа-Налево,
,SF100-B-1R-B-RL,"1,6-10 нл/мин","FNPT 1/2""",Справа-Налево,
,SF100-C-1R-B-RL,2-20 нл/мин,"FNPT 1/2""",Справа-Налево,
,SF100-E-1R-B-RL,3-30 нл/мин,"FNPT 1/2""",Справа-Налево,
,SF100-F-1R-B-RL,5-50 нл/мин,"FNPT 1/2""",Справа-Налево,
,SF100-D-1R-B-RL,6-40 нл/мин,"FNPT 1/2""",Справа-Налево,
,SF100-G-1R-B-RL,6-60 нл/мин,"FNPT 1/2""",Справа-Налево,
,SF100-A-1R-B-TB,"0,6-4 нл/мин","FNPT 1/2""",Сверху-Вниз,
,SF100-B-1R-B-TB,"1,6-10 нл/мин","FNPT 1/2""",Сверху-Вниз,
,SF100-C-1R-B-TB,2-20 нл/мин,"FNPT 1/2""",Сверху-Вниз,
,SF100-E-1R-B-TB,3-30 нл/мин,"FNPT 1/2""",Сверху-Вниз,
,SF100-F-1R-B-TB,5-50 нл/мин,"FNPT 1/2""",Сверху-Вниз,
,SF100-D-1R-B-TB,6-40 нл/мин,"FNPT 1/2""",Сверху-Вниз,
,SF100-G-1R-B-TB,6-60 нл/мин,"FNPT 1/2""",Сверху-Вниз,
