#,Заказной код,Параметр:Заказной код:Материал,Параметр:Заказной код:Давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Уплотнение
,SFG041351,Углеродистая сталь,17 бар,"BSP 1/2""",Nitrile
,SFG041353,Углеродистая сталь,17 бар,"BSP 1/2""",Viton
,SFG041203,Нерж. сталь,17 бар,"BSP 1/2""",Viton
,SFG061203,Нерж. сталь,17 бар,"BSP 3/4""",Viton
,SFG061351,Углеродистая сталь,17 бар,"BSP 3/4""",Nitrile
,SFG061353,Углеродистая сталь,17 бар,"BSP 3/4""",Viton
,SFG081353,Углеродистая сталь,17 бар,"BSP 1""",Viton
,SFG101353,Углеродистая сталь,25 бар,"BSP 1 1/4""",Viton
,SFG121353,Углеродистая сталь,25 бар,"BSP 1 1/2""",Viton
,SFG161353,Углеродистая сталь,15.5 бар,"BSP 2""",Viton
,SFN041351,Углеродистая сталь,17 бар,"NPT 1/2""",Nitrile
,SFN041353,Углеродистая сталь,17 бар,"NPT 1/2""",Viton
,SFN041203,Нерж. сталь,17 бар,"NPT 1/2""",Viton
,SFN061203,Нерж. сталь,17 бар,"NPT 3/4""",Viton
,SFN061351,Углеродистая сталь,17 бар,"NPT 3/4""",Nitrile
,SFN061353,Углеродистая сталь,17 бар,"NPT 3/4""",Viton
,SFN081353,Углеродистая сталь,17 бар,"NPT 1""",Viton
,SFN101353,Углеродистая сталь,25 бар,"NPT 1 1/4""",Viton
,SFN121353,Углеродистая сталь,25 бар,"NPT 1 1/2""",Viton
,SFN161353,Углеродистая сталь,15.5 бар,"NPT 2""",Viton
