#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал подсоединения
,SF400-A-PC-2-A-BT,25-250 л/мин,"NPT 1½""",PVC
,SF400-A-PC-1-A-BT,25-250 л/мин,"NPT 1½""",SS316
,SF400-B-PC-2-B-BT,50-500 л/мин,"NPT 2""",PVC
,SF400-B-PC-1-B-BT,50-500 л/мин,"NPT 2""",SS316
,SF400-A-PC-2-A-TB,25-250 л/мин,"NPT 1½""",PVC
,SF400-A-PC-1-A-TB,25-250 л/мин,"NPT 1½""",SS316
,SF400-B-PC-2-B-TB,50-500 л/мин,"NPT 2""",PVC
,SF400-B-PC-1-B-TB,50-500 л/мин,"NPT 2""",SS316
,SF400-A-PC-2-A-RL,25-250 л/мин,"NPT 1½""",PVC
,SF400-A-PC-1-A-RL,25-250 л/мин,"NPT 1½""",SS316
,SF400-B-PC-2-B-RL,50-500 л/мин,"NPT 2""",PVC
,SF400-B-PC-1-B-RL,50-500 л/мин,"NPT 2""",SS316
,SF400-A-PC-2-A-LR,25-250 л/мин,"NPT 1½""",PVC
,SF400-A-PC-1-A-LR,25-250 л/мин,"NPT 1½""",SS316
,SF400-B-PC-2-B-LR,50-500 л/мин,"NPT 2""",PVC
,SF400-B-PC-1-B-LR,50-500 л/мин,"NPT 2""",SS316
