#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Контакты
,DS-2-B(9)-0-B-BT,8-80 нл/мин,"NPT 3/8"" внутр.",без контактов
,DS-2-B(10)-0-B-BT,10-100 нл/мин,"NPT 3/8"" внутр.",без контактов
,DS-2-B(11)-0-B-BT,25-250 нл/мин,"NPT 3/8"" внутр.",без контактов
,DS-2-B(9)-1R-B-BT,8-80 нл/мин,"NPT 3/8"" внутр.",один контакт
,DS-2-B(10)-1R-B-BT,10-100 нл/мин,"NPT 3/8"" внутр.",один контакт
,DS-2-B(11)-1R-B-BT,25-250 нл/мин,"NPT 3/8"" внутр.",один контакт
,DS-2-B(9)-2R-B-BT,8-80 нл/мин,"NPT 3/8"" внутр.",два контакта
,DS-2-B(10)-2R-B-BT,10-100 нл/мин,"NPT 3/8"" внутр.",два контакта
,DS-2-B(11)-2R-B-BT,25-250 нл/мин,"NPT 3/8"" внутр.",два контакта
