#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Дисплей,Параметр:Заказной код:Вых.сигнал,Параметр:Заказной код:Блок питания
,TSF-02-A-1-W-1-1-1,0-1250 нл/мин,Есть,0-5 VDC,Есть
,TSF-02-A-1-0-2-1-1,0-1250 нл/мин,Нет,4-20 mA,Есть
,TSF-02-A-1-0-1-1-1,0-1250 нл/мин,Нет,0-5 VDC,Есть
,TSF-02-A-1-0-1-1-2,0-1250 нл/мин,Нет,0-5 VDC,Нет
,TSF-02-A-1-B-2-1-2,0-1250 нл/мин,с подсветкой*,4-20 mA,Нет
,TSF-02-A-1-B-2-1-1,0-1250 нл/мин,с подсветкой*,4-20 mA,Есть
,TSF-02-A-1-B-1-1-2,0-1250 нл/мин,с подсветкой*,0-5 VDC,Нет
,TSF-02-A-1-B-1-1-1,0-1250 нл/мин,с подсветкой*,0-5 VDC,Есть
,TSF-02-A-1-W-2-1-2,0-1250 нл/мин,Есть,4-20 mA,Нет
,TSF-02-A-1-W-2-1-1,0-1250 нл/мин,Есть,4-20 mA,Есть
,TSF-02-A-1-W-1-1-2,0-1250 нл/мин,Есть,0-5 VDC,Нет
,TSF-02-A-1-0-2-1-2,0-1250 нл/мин,Нет,4-20 mA,Нет
