#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:O-Ring,Параметр:Заказной код:Винт
,NAM-1-1-1-1-V-1-1,POM,Витон,"NPT 1/4"""
,NAM-1-1-2-1-V-1-1,POM,Витон,"NPT 3/8"""
,NAM-1-1-3-1-V-1-1,POM,Витон,"NPT 1/2"""
,NAM-1-1-5-1-V-1-1,POM,Витон,"NPT 1"""
,NAM-1-1-6-1-V-1-1,POM,Витон,"NPT 1 1/4"""
,NAM-1-1-7-1-V-1-1,POM,Витон,"NPT 1 1/2"""
,NAM-1-1-1-1-V-2-1,PP+10%стекловолокно,Витон,"NPT 1/4"""
,NAM-1-1-2-1-V-2-1,PP+10%стекловолокно,Витон,"NPT 3/8"""
,NAM-1-1-3-1-V-2-1,PP+10%стекловолокно,Витон,"NPT 1/2"""
,NAM-1-1-5-1-V-2-1,PP+10%стекловолокно,Витон,"NPT 1"""
,NAM-1-1-6-1-V-2-1,PP+10%стекловолокно,Витон,"NPT 1 1/4"""
,NAM-1-1-7-1-V-2-1,PP+10%стекловолокно,Витон,"NPT 1 1/2"""
