#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Контакты
,VF300-B(1)-0-PSU-1-B-BT  ,3-30 нл/мин,"NPT 1/2""",без контактов
,VF300-B(2)-0-PSU-1-B-BT,6-60 нл/мин,"NPT 1/2""",без контактов
,VF300-B(3)-0-PSU-1-B-BT,12-120 нл/мин,"NPT 1/2""",без контактов
,VF300-B(4)-0-PSU-1-B-BT,18-180 нл/мин,"NPT 1/2""",без контактов
,VF300-B(5)-0-PSU-1-B-BT,40-400 нл/мин,"NPT 1/2""",без контактов
,VF300-B(1)-1R-PSU-1-B-BT,3-30 нл/мин,"NPT 1/2""",один контакт
,VF300-B(2)-1R-PSU-1-B-BT,6-60 нл/мин,"NPT 1/2""",один контакт
,VF300-B(3)-1R-PSU-1-B-BT,12-120 нл/мин,"NPT 1/2""",один контакт
,VF300-B(4)-1R-PSU-1-B-BT,18-180 нл/мин,"NPT 1/2""",один контакт
,VF300-B(5)-1R-PSU-1-B-BT,40-400 нл/мин,"NPT 1/2""",один контакт
