#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление
,077S-002-A-1S,"NPT 1/4""",0.1-2 бар
,077S-005-A-1S,"NPT 1/4""",0.1-5 бар
,077S-010-A-1S,"NPT 1/4""",0.1-10 бар
,077S-020-A-1S,"NPT 1/4""",0.1-20 бар
,077B-002-A-1S,"NPT 1/4""",0.1-2 бар
,077B-005-A-1S,"NPT 1/4""",0.1-5 бар
,077B-010-A-1S,"NPT 1/4""",0.1-10 бар
,077B-020-A-1S,"NPT 1/4""",0.1-25 бар
,077S-002-L-1S,"NPT 1/4""",0.1-2 бар
,077S-005-L-1S,"NPT 1/4""",0.1-5 бар
,077S-010-L-1S,"NPT 1/4""",0.1-10 бар
,077S-020-L-1S,"NPT 1/4""",0.1-25 бар
,077B-002-L-1S,"NPT 1/4""",0.1-2 бар
,077B-005-L-1S,"NPT 1/4""",0.1-5 бар
,077B-010-L-1S,"NPT 1/4""",0.1-10 бар
,077B-020-L-1S,"NPT 1/4""",0.1-25 бар
,077S-002-L-1S-GAUGE,"NPT 1/4""",0.1-2 бар
,077S-005-L-1S-GAUGE,"NPT 1/4""",0.1-5 бар
,077S-010-L-1S-GAUGE,"NPT 1/4""",0.1-10 бар
,077S-020-L-1S-GAUGE,"NPT 1/4""",0.1-25 бар
,077B-002-L-1S-GAUGE,"NPT 1/4""",0.1-2 бар
,077B-005-L-1S-GAUGE,"NPT 1/4""",0.1-5 бар
,077B-010-L-1S-GAUGE,"NPT 1/4""",0.1-10 бар
,077B-020-L-1S-GAUGE,"NPT 1/4""",0.1-25 бар
