#,Заказной код,Параметр:Заказной код:Описание,Параметр:Заказной код:Давление входное,Параметр:Заказной код:Давление выходное,Параметр:Заказной код:Вход,Параметр:Заказной код:Вход
,2117306,"РДСГ-1-KRASS (""Лягушка"", пропановый)",16 бар,"0,004 бар",W21.8х1/14LH,9 мм
,2117309,"РДСГ-1-KRASS с вентилем (""Лягушка"", пропановый)",16 бар,"0,036 бар",W21.8х1/14LH,9 мм
,2117301,"РДСГ-1 (""Лягушка"", пропановый)",16 бар,30 бар,"W 21,8×1/14“",6/9 мм
,2117302,"РДСГ-2 (""Балтика"", пропановый)",16 бар,30 бар,клапан,9 мм
,548900060704P,"RTP 21 model (""Лягушка"", пропановый)",8 бар,30 бар,"W 21,8×1/14“",8 мм
