#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Вход
,RPB4CP-RD-1.5-WL-HOS-CH4,1.5 бар,"W21.8x1/14""LH"
,RPB4CP-RD-4-WL-HOS-CH4,4 бар,"W21.8x1/14""LH"
,RPB4CP-RD-10-WL-HOS-CH4,10 бар,"W21.8x1/14""LH"
,RPB4CP-RD-16-WL-HOS-CH4,16 бар,"W21.8x1/14""LH"
