#,Заказной код,Параметр:Заказной код:Описание,Параметр:Заказной код:Давление входное,Параметр:Заказной код:Давление выходное,Параметр:Заказной код:Вход,Параметр:Заказной код:Вход
,2117610,"БАО 5 1,5 mini",25 бар,1.5 бар,хомут,М16х1.5LH; 6.3 мм; 9 мм
,2117505,"БАО 5 1,5",25 бар,1.5 бар,хомут,М16х1.5LH; 6.3 мм; 9 мм
,2117517,БАО 5 КР,25 бар,1.5 бар,хомут,М16х1.5LH; 6.3 мм; 9 мм
,2117579,БАО-5-4,25 бар,1.5 бар,хомут,М16х1.5LH; 6.3 мм; 9 мм
,2117507,BASE CONTROL АС,25 бар,1.5 бар,хомут,"М16х1,5 LH / G3/8LH"
,2117601,БАО-5-2,25 бар,1.5 бар,хомут,"М16х1,5 LH"
,2117607,БАО-5-КР2,25 бар,1.5 бар,хомут,"M16×1,5 + ниппель Ø 6.3/9.0 мм"
,870457,BaseControl ACE,25 бар,1.5 бар,хомут,"G3/8LH"""
,781324,DIN AC,25 бар,1.5 бар,хомут,"G 3/8"" LH"
