#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,,
,DRA700-A025-HPS-4L-GOS,"Hy-Lok 1/4""",от 0.1 до 1.7 бар,0.06,,
,DRA700-A050-HPS-4L-GOS,"Hy-Lok 1/4""",от 0.1 до 3.5 бар,0.06,,
,DRA700-A100-HPS-4L-GOS,"Hy-Lok 1/4""",от 0.1 до 7 бар,0.06,,
,DRA700-A250-HPS-4L-GOS,"Hy-Lok 1/4""",от 0.2 до 17 бар,0.06,,
,DRA700-A025-HPO-8L-GOS,"Hy-Lok 3/8""",от 0.1 до 1.7 бар,0.2,,
,DRA700-A050-HPO-8L-GOS,"Hy-Lok 3/8""",от 0.1 до 3.5 бар,0.2,,
,DRA700-A100-HPO-8L-GOS,"Hy-Lok 3/8""",от 0.1 до 7 бар,0.2,,
,DRA700-A250-HPO-8L-GOS,"Hy-Lok 3/8""",от 0.2 до 17 бар,0.2,,
,DRA700-A025-HPS-2L-GOS,"Hy-Lok 1/2""",от 0.1 до 1.7 бар,0.5,,
,DRA700-A050-HPS-2L-GOS,"Hy-Lok 1/2""",от 0.1 до 3.5 бар,0.5,,
,DRA700-A100-HPS-2L-GOS,"Hy-Lok 1/2""",от 0.1 до 7 бар,0.5,,
,DRA700-A250-HPS-2L-GOS,"Hy-Lok 1/2""",от 0.2 до 17 бар,0.5,,
,DRA700-A025-HPS-3L-GOS,"Hy-Lok 3/4""",от 0.1 до 1.7 бар,1.2,,
,DRA700-A050-HPS-3L-GOS,"Hy-Lok 3/4""",от 0.1 до 3.5 бар,1.2,,
,DRA700-A100-HPS-3L-GOS,"Hy-Lok 3/4""",от 0.1 до 7 бар,1.2,,
,DRA700-A250-HPS-3L-GOS,"Hy-Lok 3/4""",от 0.2 до 17 бар,1.2,,
,DRA700-A025-HPS-4L-G1S,"Hy-Lok 1/4""",от 0.1 до 1.7 бар,0.06,,
,DRA700-A050-HPS-4L-G1S,"Hy-Lok 1/4""",от 0.1 до 3.5 бар,0.06,,
,DRA700-A100-HPS-4L-G1S,"Hy-Lok 1/4""",от 0.1 до 7 бар,0.06,,
,DRA700-A250-HPS-4L-G1S,"Hy-Lok 1/4""",от 0.2 до 17 бар,0.06,,
,DRA700-A025-HPO-8L-G1S,"Hy-Lok 3/8""",от 0.1 до 1.7 бар,0.2,,
,DRA700-A050-HPO-8L-G1S,"Hy-Lok 3/8""",от 0.1 до 3.5 бар,0.2,,
,DRA700-A100-HPO-8L-G1S,"Hy-Lok 3/8""",от 0.1 до 7 бар,0.2,,
,DRA700-A250-HPO-8L-G1S,"Hy-Lok 3/8""",от 0.2 до 17 бар,0.2,,
,DRA700-A025-HPS-2L-G1S,"Hy-Lok 1/2""",от 0.1 до 1.7 бар,0.5,,
,DRA700-A050-HPS-2L-G1S,"Hy-Lok 1/2""",от 0.1 до 3.5 бар,0.5,,
,DRA700-A100-HPO-2L-G1S,"Hy-Lok 1/2""",от 0.1 до 7 бар,1,,
,DRA700-A250-HPO-2L-G1S,"Hy-Lok 1/2""",от 0.2 до 17 бар,1,,
,DRA700-A025-HPS-3L-G1S,"Hy-Lok 3/4""",от 0.1 до 1.7 бар,1.2,,
,DRA700-A050-HPS-3L-G1S,"Hy-Lok 3/4""",от 0.1 до 3.5 бар,1.2,,
,DRA700-A100-HPS-3L-G1S,"Hy-Lok 3/4""",от 0.1 до 7 бар,1.2,,
,DRA700-A250-HPS-3L-G1S,"Hy-Lok 3/4""",от 0.2 до 17 бар,1.2,,
,DRA700-A025-HPS-4L-G2S,"Hy-Lok 1/4""",от 0.1 до 1.7 бар,0.06,,
,DRA700-A050-HPS-4L-G2S,"Hy-Lok 1/4""",от 0.1 до 3.5 бар,0.06,,
,DRA700-A100-HPS-4L-G2S,"Hy-Lok 1/4""",от 0.1 до 7 бар,0.06,,
,DRA700-A250-HPS-4L-G2S,"Hy-Lok 1/4""",от 0.2 до 17 бар,0.06,,
,DRA700-A025-HPO-8L-G2S,"Hy-Lok 3/8""",от 0.1 до 1.7 бар,0.2,,
,DRA700-A050-HPO-8L-G2S,"Hy-Lok 3/8""",от 0.1 до 3.5 бар,0.2,,
,DRA700-A100-HPO-8L-G2S,"Hy-Lok 3/8""",от 0.1 до 7 бар,0.2,,
,DRA700-A250-HPO-8L-G2S,"Hy-Lok 3/8""",от 0.2 до 17 бар,0.2,,
,DRA700-A025-HPS-2L-G2S,"Hy-Lok 1/2""",от 0.1 до 1.7 бар,0.5,,
,DRA700-A050-HPS-2L-G2S,"Hy-Lok 1/2""",от 0.1 до 3.5 бар,0.5,,
,DRA700-A100-HPS-2L-G2S,"Hy-Lok 1/2""",от 0.1 до 7 бар,0.5,,
,DRA700-A250-HPS-2L-G2S,"Hy-Lok 1/2""",от 0.2 до 17 бар,0.5,,
,DRA700-A025-HPS-3L-G2S,"Hy-Lok 3/4""",от 0.1 до 1.7 бар,1.2,,
,DRA700-A050-HPS-3L-G2S,"Hy-Lok 3/4""",от 0.1 до 3.5 бар,1.2,,
,DRA700-A100-HPS-3L-G2S,"Hy-Lok 3/4""",от 0.1 до 7 бар,1.2,,
,DRA700-A250-HPS-3L-G2S,"Hy-Lok 3/4""",от 0.2 до 17 бар,1.2,,
