#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление
,W077S-002-A-1S,"NPT 1/4""",0.1-2 бар
,W077S-005-A-1S,"NPT 1/4""",0.1-5 бар
,W077S-010-A-1S,"NPT 1/4""",0.1-10 бар
,W077S-020-A-1S,"NPT 1/4""",0.1-25 бар
,W077B-002-A-1S,"NPT 1/4""",0.1-2 бар
,W077B-005-A-1S,"NPT 1/4""",0.1-5 бар
,W077B-010-A-1S,"NPT 1/4""",0.1-10 бар
,W077B-020-A-1S,"NPT 1/4""",0.1-25 бар
,W077S-002-L-1S,"NPT 1/4""",0.1-2 бар
,W077S-005-L-1S,"NPT 1/4""",0.1-5 бар
,W077S-010-L-1S,"NPT 1/4""",0.1-10 бар
,W077S-020-L-1S,"NPT 1/4""",0.1-25 бар
,W077B-002-L-1S,"NPT 1/4""",0.1-2 бар
,W077B-005-L-1S,"NPT 1/4""",0.1-5 бар
,W077B-010-L-1S,"NPT 1/4""",0.1-10 бар
,W077B-020-L-1S,"NPT 1/4""",0.1-25 бар
