#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Входное давление,Параметр:Заказной код:Выходное давление,Параметр:Заказной код:Материал,Параметр:Заказной код:Управление,,
,DR701-SHV-010-NP1,"NPT 1/2""",до 420 бар,0-10 бар,нерж.сталь,Винт,,
,DR701-SHV-025-NP1,"NPT 1/2""",до 420 бар,0-25 бар,нерж.сталь,Винт,,
,DR701-SHV-050-NP1,"NPT 1/2""",до 420 бар,0-50 бар,нерж.сталь,Винт,,
,DR701-SHV-070-NP1,"NPT 1/2""",до 420 бар,0-70 бар,нерж.сталь,Винт,,
,DR701-SHV-010-NP2,"NPT 3/4""",до 420 бар,0-10 бар,нерж.сталь,Винт,,
,DR701-SHV-025-NP2,"NPT 3/4""",до 420 бар,0-25 бар,нерж.сталь,Винт,,
,DR701-SHV-050-NP2,"NPT 3/4""",до 420 бар,0-50 бар,нерж.сталь,Винт,,
,DR701-SHV-070-NP2,"NPT 3/4""",до 420 бар,0-70 бар,нерж.сталь,Винт,,
,DR701-SHV-150-NP2,"NPT 3/4""",до 420 бар,0-150 бар,нерж. сталь*,Винт,,
,DR701-SHV-250-NP2,"NPT 3/4""",до 420 бар,0-250 бар,нерж. сталь*,Винт,,
,DR701-SHV-350-NP2,"NPT 3/4""",до 420 бар,0-350 бар,нерж. сталь*,Винт,,
,DR701-SHV-010-NP3,"NPT 1""",до 420 бар,0-10 бар,нерж.сталь,Винт,,
,DR701-SHV-025-NP3,"NPT 1""",до 420 бар,0-25 бар,нерж.сталь,Винт,,
,DR701-SHV-050-NP3,"NPT 1""",до 420 бар,0-50 бар,нерж.сталь,Винт,,
,DR701-SHV-070-NP3,"NPT 1""",до 420 бар,0-70 бар,нерж.сталь,Винт,,
,DR701-SHV-150-NP3,"NPT 1""",до 420 бар,0-150 бар,нерж. сталь*,Винт,,
,DR701-SHV-250-NP3,"NPT 1""",до 420 бар,0-250 бар,нерж. сталь*,Винт,,
,DR701-SHV-350-NP3,"NPT 1""",до 420 бар,0-350 бар,нерж. сталь*,Винт,,
,DR702-SHV-010-NP1,"NPT 1/2""",до 420 бар,0-10 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-025-NP1,"NPT 1/2""",до 420 бар,0-25 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-050-NP1,"NPT 1/2""",до 420 бар,0-50 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-070-NP1,"NPT 1/2""",до 420 бар,0-70 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-010-NP2,"NPT 3/4""",до 420 бар,0-10 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-025-NP2,"NPT 3/4""",до 420 бар,0-25 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-050-NP2,"NPT 3/4""",до 420 бар,0-50 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-070-NP2,"NPT 3/4""",до 420 бар,0-70 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-150-NP2,"NPT 3/4""",до 420 бар,0-150 бар,нерж. сталь*,Рукоятка,,
,DR702-SHV-250-NP2,"NPT 3/4""",до 420 бар,0-250 бар,нерж. сталь*,Рукоятка,,
,DR702-SHV-350-NP2,"NPT 3/4""",до 420 бар,0-350 бар,нерж. сталь*,Рукоятка,,
,DR702-SHV-010-NP3,"NPT 1""",до 420 бар,0-10 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-025-NP3,"NPT 1""",до 420 бар,0-25 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-050-NP3,"NPT 1""",до 420 бар,0-50 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-070-NP3,"NPT 1""",до 420 бар,0-70 бар,нерж.сталь,Рукоятка,,
,DR702-SHV-150-NP3,"NPT 1""",до 420 бар,0-150 бар,нерж. сталь*,Рукоятка,,
,DR702-SHV-250-NP3,"NPT 1""",до 420 бар,0-250 бар,нерж. сталь*,Рукоятка,,
,DR702-SHV-350-NP3,"NPT 1""",до 420 бар,0-350 бар,нерж. сталь*,Рукоятка,,
