#,Заказной код,Параметр:Заказной код:Описание,Параметр:Заказной код:Давление входное,Параметр:Заказной код:Давление выходное,Параметр:Заказной код:Вход,Параметр:Заказной код:Вход
,2133515,БГО 50 ВШ для шаров,200 бар,10 бар,G3/4,устройство куркового типа
,870458,"BaseControl N - 200/10 бар, вх. G3/4""; вых. G1/4""; 30 м3/ч",200 бар,10 бар,G3/4,"G1/4"""
,780625,"DIN HYD - Водород- 200/10 бар, вх. W 21,8x1/14"" LH; вых. G 3/8"" LH; 100 м3/ч",200 бар,10 бар,"W 21,8x1/14"" LH","G 3/8"" LH"
,780692,"DIN NIT - Aзот, Гелий, Aргон, Воздух - 200/10 бар, вх. G3/4""; вых. G1/4""; 30 м3/ч",200 бар,10 бар,G3/4,"G1/4"""
,783592,"DIN NIT - Азот 200/30 бар, вх. G3/4"", вых. G1/4""; 100м3/ч",200 бар,30 бар,"G3/4""","G1/4"""
,ARV0160,"DIN HE - Гелий; 200/10 бар; вх. W 21,8x1/14""; вых. G1/4""",200 бар,10 бар,"W 21,8x1/14""","G1/4"""
