#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Входное давление,Параметр:Заказной код:Выходное давление,Параметр:Заказной код:Материал,Параметр:Заказной код:Управление
,DR701-BP-070-NP1,"NPT 1/2""",до 100 бар,0-70 бар,никел. латунь,Винт
,DR701-BP-010-NP2,"NPT 3/4""",до 100 бар,0-10 бар,никел. латунь,Винт
,DR701-BP-025-NP2,"NPT 3/4""",до 100 бар,0-25 бар,никел. латунь,Винт
,DR701-BP-050-NP1,"NPT 1/2""",до 100 бар,0-50 бар,никел. латунь,Винт
,DR701-BP-050-NP2,"NPT 3/4""",до 100 бар,0-50 бар,никел. латунь,Винт
,DR701-BP-070-NP2,"NPT 3/4""",до 100 бар,0-70 бар,никел. латунь,Винт
,DR701-BP-010-NP3,"NPT 1""",до 100 бар,0-10 бар,никел. латунь,Винт
,DR701-BP-025-NP3,"NPT 1""",до 100 бар,0-25 бар,никел. латунь,Винт
,DR701-BP-050-NP3,"NPT 1""",до 100 бар,0-50 бар,никел. латунь,Винт
,DR701-BP-070-NP3,"NPT 1""",до 100 бар,0-70 бар,никел. латунь,Винт
,DR702-BP-070-NP1,"NPT 1/2""",до 100 бар,0-70 бар,никел. латунь,Рукоятка
,DR702-BP-010-NP2,"NPT 3/4""",до 100 бар,0-10 бар,никел. латунь,Рукоятка
,DR702-BP-025-NP2,"NPT 3/4""",до 100 бар,0-25 бар,никел. латунь,Рукоятка
,DR702-BP-050-NP2,"NPT 3/4""",до 100 бар,0-50 бар,никел. латунь,Рукоятка
,DR702-BP-070-NP2,"NPT 3/4""",до 100 бар,0-70 бар,никел. латунь,Рукоятка
,DR702-BP-070-NP2-V,"NPT 3/4""",до 100 бар,0-70 бар,никел. латунь,Рукоятка
,DR702-BP-010-NP3,"NPT 1""",до 100 бар,0-10 бар,никел. латунь,Рукоятка
,DR702-BP-025-NP3,"NPT 1""",до 100 бар,0-25 бар,никел. латунь,Рукоятка
,DR702-BP-050-NP3,"NPT 1""",до 100 бар,0-50 бар,никел. латунь,Рукоятка
,DR702-BP-070-NP3,"NPT 1""",до 100 бар,0-70 бар,никел. латунь,Рукоятка
