#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Вход
,RPA4CP-PD-1.5-G-HOS-C2,1.5 бар,"G3/4"""
,RPA4CP-PD-1.5-W-HOS-C2,1.5 бар,"W21.8x1/14"""
,RPA4CP-PD-4-G-HOS-C2,4 бар,"G3/4"""
,RPA4CP-PD-4-W-HOS-C2,4 бар,"W21.8x1/14"""
,RPA4CP-PD-10-G-HOS-C2,10 бар,"G3/4"""
,RPA4CP-PD-10-W-HOS-C2,10 бар,"W21.8x1/14"""
,RPA4CP-PD-16-G-HOS-C2,16 бар,"G 3/4"""
,RPA4CP-PD-16-W-HOS-C2,16 бар,"W21.8x1/14"""
