#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Вход
,"RPA4DP-RD-1,5-F4N",От 0 до 1.5 бар,"NPT 1/4"""
,RPA4DP-RD-4-F4N,От 0 до 4 бар,"NPT 1/4"""
,RPA4DP-RD-10-F4N,От 0 до 10 бар,"NPT 1/4"""
,RPA4DP-RD-16-F4N,От 0 до 16 бар,"NPT 1/4"""
,"RPA4DP-R1-1,5-F4N",От 0 до 1.5 бар,"NPT 1/4"""
,RPA4DP-R1-4-F4N,От 0 до 4 бар,"NPT 1/4"""
,RPA4DP-R1-10-F4N,От 0 до 10 бар,"NPT 1/4"""
,RPA4DP-R1-16-F4N,От 0 до 16 бар,"NPT 1/4"""
