#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Входное давление,Параметр:Заказной код:Выходное давление,Параметр:Заказной код:Материал,Параметр:Заказной код:Управление,,
,DR701-SP-070-NP1,"NPT 1/2""",до 200 бар,0-70 бар,нерж. сталь*,Винт,,
,DR701-SP-010-NP2,"NPT 3/4""",до 200 бар,0-10 бар,нерж. сталь*,Винт,,
,DR701-SP-025-NP2,"NPT 3/4""",до 200 бар,0-25 бар,нерж. сталь*,Винт,,
,DR701-SP-050-NP2,"NPT 3/4""",до 200 бар,0-50 бар,нерж. сталь*,Винт,,
,DR701-SP-070-NP2,"NPT 3/4""",до 200 бар,0-70 бар,нерж. сталь*,Винт,,
,DR701-SP-010-NP3,"NPT 1""",до 200 бар,0-10 бар,нерж. сталь*,Винт,,
,DR701-SP-025-NP3,"NPT 1""",до 200 бар,0-25 бар,нерж. сталь*,Винт,,
,DR701-SP-050-NP3,"NPT 1""",до 200 бар,0-50 бар,нерж. сталь*,Винт,,
,DR701-SP-070-NP3,"NPT 1""",до 200 бар,0-70 бар,нерж. сталь*,Винт,,
,DR702-SP-070-NP1,"NPT 1/2""",до 200 бар,0-70 бар,нерж. сталь*,Рукоятка,,
,DR702-SP-010-NP2,"NPT 3/4""",до 200 бар,0-10 бар,нерж. сталь*,Рукоятка,,
,DR702-SP-025-NP2,"NPT 3/4""",до 200 бар,0-25 бар,нерж. сталь*,Рукоятка,,
,DR702-SP-050-NP2,"NPT 3/4""",до 200 бар,0-50 бар,нерж. сталь*,Рукоятка,,
,DR702-SP-070-NP2,"NPT 3/4""",до 200 бар,0-70 бар,нерж. сталь*,Рукоятка,,
,DR702-SP-010-NP3,"NPT 1""",до 200 бар,0-10 бар,нерж. сталь*,Рукоятка,,
,DR702-SP-025-NP3,"NPT 1""",до 200 бар,0-25 бар,нерж. сталь*,Рукоятка,,
,DR702-SP-050-NP3,"NPT 1""",до 200 бар,0-50 бар,нерж. сталь*,Рукоятка,,
,DR702-SP-070-NP3,"NPT 1""",до 200 бар,0-70 бар,нерж. сталь*,Рукоятка,,
