#,Заказной код,Параметр:Заказной код:Описание,Параметр:Заказной код:Материал
,FCS-G-3/4-M4N-D14-NIBR,"Штуцер баллоный диаметр 14мм, вход -NPT 1/4'', выход- накидная гайка G3/4' с прокладкой",Никелированная латунь
,FCS-WL-M4N-D14-NIBR,"Штуцер баллоный диаметр 14мм, вход -NPT 1/4'', выход- накидная гайка W21,8x1/14''LH с прокладкой",Никелированная латунь
,FCS-W-M4N-D14-NIBR,"Штуцер баллоный диаметр 14мм, вход -NPT 1/4'', выход- накидная гайка W21,8x1/14'' с прокладкой",Никелированная латунь
,FCS-G-3/4-M4N-D14-S304,"Штуцер баллоный диаметр 14мм, вход -NPT 1/4'', выход- накидная гайка G3/4'' с прокладкой",Нержавеющая сталь
,FCS-WL-M4N-D14-S304,"Штуцер баллоный диаметр 14мм вход -NPT 1/4'', выход- накидная гайка W21,8x1/14''LH с прокладкой",Нержавеющая сталь
,FCS-W-M4N-D14-S304,"Штуцер баллоный диаметр 14мм вход -NPT 1/4'', выход- накидная гайка W21,8x1/14'' с прокладкой",Нержавеющая сталь
,FCS-G-3/4-M4N-D16-S304,"Штуцер баллоный диаметр 16мм, вход -NPT 1/4'', выход- накидная гайка G3/4'' с прокладкой",Нержавеющая сталь
,FCS-WL-M4N-D16-S304,"Штуцер баллоный диаметр 16мм вход -NPT 1/4'', выход- накидная гайка W21,8x1/14''LH с прокладкой",Нержавеющая сталь
,FCS-W-M4N-D16-S304,"Штуцер баллоный диаметр 16мм вход -NPT 1/4'', выход- накидная гайка W21,8x1/14'' с прокладкой",Нержавеющая сталь
,FCS-G-1/2-M4N-D14-S304,"Штуцер баллоный диаметр 14мм, вход -NPT 1/4'', выход- накидная гайка G1/2'' с прокладкой",Нержавеющая сталь
,FCDS-G-3/4-M4N-D14-NIBR,"Короткий баллоный штуцер, диаметр 14мм, вход -NPT 1/4'', выход- накидная гайка G3/4' с прокладкой",Никелированная латунь
,FCN-G-1/2-D14-S304,"Накидная гайка G1/2"", отверстие 14мм",Нержавеющая сталь
,FCN-G-3/4-D14-S304,"Накидная гайка G3/4"" посеребренная резьба, под ключ 32, отверстие 14мм",Нержавеющая сталь
,FCN-G-3/4-D14-NIBR,"Накидная гайка G3/4"", под ключ 32, отверстие 14мм",Никелированная латунь
,FCN-WL-D14-NIBR,"Накидная гайка W21.8х1/14""LH левая резьба, отверстие 14мм",Никелированная латунь
,FCN-W-D14-NIBR,"Накидная гайка W21.8х1/14"", отверстие 14мм",Никелированная латунь
,FCN-W-D14-BRASS,"Накидная гайка W21.8х1/14"", под ключ 32, отверстие 14мм",Латунь
,FCN-G-3/4-D14-BRASS,"Накидная гайка G3/4"", под ключ 32, отверстие 14мм",Латунь
,FCN-G-3/4-D16-S304,"Накидная гайка G3/4"" посеребренная резьба, под ключ 32, отверстие 16мм",Нержавеющая сталь
,FCN-W-D16-NIBR,"Гайка из никелированной латуни W21.8, отверстие 16мм",Никелированная латунь
,FCN-WL-D16-NIBR,"Гайка из никелированной латуни W21.8LHх1/14"", левая резьба отверстие 16мм",Никелированная латунь
,FCN-G-3/4-D16-H32-NIBR,"Накидная гайка G3/4"", под ключ 32, отверстие 16мм",Никелированная латунь
,FCN-W-D16-BRASS,"Накидная гайка W21.8х1/14"", под ключ 32, отверстие 16мм",Латунь
,FCN-G-3/4-D16-H32-BRASS,"Накидная гайка G3/4"", под ключ 32, отверстие 16мм",Латунь
,FCC-G-3/4-M4N-D14-NIBR,"Штуцер баллонный диаметр 14мм, под гайку G3/4"", резьба 1/4""NPT, встроенный фильтрующий элемент",Никелированная латунь
,FCC-W-M4N-D14-NIBR,"Штуцер баллонный диаметр 14мм, под гайку W21.8 и W21.8LH резьба 1/4""NPT, встроенный фильтрующий элемент",Никелированная латунь
,FCC-G/W-M4N-D14-S304,"Штуцер баллонный диаметр 14мм, под гайки G3/4"", G1/2"", W21.8 и W21.8LH, резьба 1/4""NPT",Нержавеющая сталь
,FCC-G/W-M4N-D16-S304,"Штуцер баллонный диаметр 16мм, под гайку G3/4"", W21.8 и W21.8LH, резьба 1/4""NPT",Нержавеющая сталь
,FCD-G-3/4-M4N-D14-NIBR,"Короткий баллонный штуцер диаметр 14мм, под гайку G3/4"", резьба 1/4""NPT, встроенный фильтрующий элемент",Никелированная латунь
,FCD-W-M4N-D14-BRASS,"Короткий баллонный штуцер диаметр 14мм, под гайку G3/4"", резьба 1/4""NPT",Латунь
,RO-G-3/4-NYLON,"Прокладка под резьбу G3/4""",нейлон
,RO-W-NYLON,"Прокладка под резьбу W21.8x1/14"" и W21.8LH x1/14""",нейлон
,RO-G1/2-PTFE,"Прокладка под резьбу G1/2""",фторопласт
