#,Заказной код,Параметр:Заказной код:Описание,Параметр:Заказной код:Давление входное,Параметр:Заказной код:Давление выходное,Параметр:Заказной код:Вход,Параметр:Заказной код:Вход
,2117611,БПО 5 3 mini,25 бар,4 бара,W21.8х1/14LH,М16х1.5LH; 6.3 мм; 9 мм
,2117516,БПО 5 КР,25 бар,4 бара,W21.8х1/14LH,М16х1.5LH; 6.3 мм; 9 мм
,2117608,БПО-5-КР2,25 бар,4 бара,W21.8 x 1/14 LH,"М 16 х 1,5 LH + ниппель Ф6,3/Ф9,0 мм"
,2117500,БПО 5 3,25 бар,4 бара,"W21,8 LH","М16х1,5 LH"
,2117578,БПО-5-4,25 бар,4 бара,W21.8х1/14LH,М16х1.5LH; 6.3 мм; 9 мм
,2117602,БПО-5-2,25 бар,4 бара,"W21.8-14 ниток на 1"" LH","М16х1,5 LH"
,870461,BaseControl PB,25 бар,4 бара,"W 21,8x1/14LH""","G 3/8"" LH"
,870306,BaseControl SE PB,25 бар,4 бара,"W 21,8x1/14LH""","G 3/8"" LH"
,760547,P2 - Пропан - бутан,25 бар,4 бара,"W 21,8x1/14""LH","G 3/8"" LH"
