#,Заказной код,Параметр:Заказной код:Размер
,FPM-6M-2N,"NPT 1/8"" наруж."
,FPM-6M-4N,"NPT 1/4"" наруж."
,FPM-8M-4N,"NPT 1/4"" наруж."
,FPM-10M-4N,"NPT 1/4"" наруж."
,FPM-12M-4N,"NPT 1/4"" наруж."
