#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление
,2000B-002-1-S,"NPT 1/4""",0.1-2 бар
,2000B-005-1-S,"NPT 1/4""",0.1-5 бар
,2000B-010-1-S,"NPT 1/4""",0.1-10 бар
,2000B-010-1-S-H,"NPT 1/4""",0.1-10 бар
,2000B-025-1-S,"NPT 1/4""",0.1-25 бар
,2000B-025-1-SH-GAUGE,"NPT 1/4""",0.1-25 бар
,2000B-002-1-S-GAUGE,"NPT 1/4""",0.1-2 бар
,2000B-005-1-S-GAUGE,"NPT 1/4""",0.1-5 бар
,2000B-010-1-S-GAUGE,"NPT 1/4""",0.1-10 бар
,2000B-025-1-S-GAUGE,"NPT 1/4""",0.1-25 бар
