#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Входное давление,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Управление,Параметр:Заказной код:Выходное давление,Параметр:Заказной код:Тип регулятора,Параметр:Заказной код:Конфигурация портов
,DR115-SL-002C-N1,NPT 1/2,42 бар,Нерж.сталь,рукоятка,2 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR115-SL-002C-N2,NPT 3/4,42 бар,Нерж.сталь,рукоятка,2 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR115-SL-002C-N3,NPT 1,42 бар,Нерж.сталь,рукоятка,2 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR115-SL-004C-N1,NPT 1/2,42 бар,Нерж.сталь,рукоятка,4 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR115-SL-004C-N2,NPT 3/4,42 бар,Нерж.сталь,рукоятка,4 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR115-SL-004C-N3,NPT 1,42 бар,Нерж.сталь,рукоятка,4 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR115-SL-007C-N1,NPT 1/2,42 бар,Нерж.сталь,рукоятка,7 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR115-SL-007C-N2,NPT 3/4,42 бар,Нерж.сталь,рукоятка,7 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR115-SL-007C-N3,NPT 1,42 бар,Нерж.сталь,рукоятка,7 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR115-SL-010C-N1,NPT 1/2,42 бар,Нерж.сталь,рукоятка,10 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
