#,Заказной код,Параметр:Заказной код:Описание,Параметр:Заказной код:Давление входное,Параметр:Заказной код:Давление выходное,Параметр:Заказной код:Вход,Параметр:Заказной код:Вход
,2117509,У 30/АР 40,200 бар,15 бар,"G3/4""",М16х1.5; 6.3 мм; 9 мм
,2133518,У 30/АР 40 КР,150 бар,"5,1 бар","G3/4""",М16х1.5; 6.3 мм; 9 мм
,2133614,У30/АР40-Р mini,150 бар,"3,5 бар","G3/4""",М16х1.5; 6.3 мм; 9 мм
,2133615,У30/АР40-Р mini 2-х ступенчатый,150 бар,"3,5 бар","G3/4""",М16х1.5; 6.3 мм; 9 мм
,2117508,У 30/АР 40 Р с ротаметром,150 бар,15 бар,"G3/4""",М16х1.5; 6.3 мм; 9 мм
,2133519,У 30/АР 40 КР Р с ротаметром,150 бар,15 бар,"G3/4""",М16х1.5; 6.3 мм; 9 мм
,2133577,У 30 КРП с встроенным подогревателем 36V,150 бар,"5,1 бар","G3/4""",М16х1.5; 6.3 мм; 9 мм
,2133603,У-30/АР-40-2,150 бар,15 бар,"G3/4""",М16х1.5; 6.3 мм; 9 мм
,2133612,У-30/АР-40-Р2-КР2 с 2 ротаметрами,150 бар,15 бар,"G3/4""",М16х1.5; 6.3 мм; 9 мм
,2133610,У-30/АРП-40-Р-КР2 с ротаметром и встроенным подогревателем 36V,150 бар,15 бар,"G3/4""",М16х1.5; 6.3 мм; 9 мм
,870459,BaseControl ARG - AR/CO2,150 бар,15 бар,"G3/4""","G1/4"""
