#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Мощность,Параметр:Заказной код:Рабочая температура уплотнений,,
,RPHA100S-0025L-1S,"NPT 1/4""",0.1-1.7 бар,100 Вт,от -40°C до 70°C,,
,RPHA100S-0050L-1S,"NPT 1/4""",0.1-3.5 бар,100 Вт,от -40°C до 70°C,,
,RPHA100S-0100L-1S,"NPT 1/4""",0.1-7 бар,100 Вт,от -40°C до 70°C,,
,RPHA100S-0250L-1S,"NPT 1/4""",0.1-17 бар,100 Вт,от -40°C до 70°C,,
,RPHA100S-0500L-1S,"NPT 1/4""",0.2-35 бар,100 Вт,от -40°C до 70°C,,
,RPHA100S-0025L-1S-H1,"NPT 1/4""",0.1-1.7 бар,100 Вт,от -40°C до 120°C,,
,RPHA100S-0050L-1S-H1,"NPT 1/4""",0.1-3.5 бар,100 Вт,от -40°C до 120°C,,
,RPHA100S-0100L-1S-H1,"NPT 1/4""",0.1-7 бар,100 Вт,от -40°C до 120°C,,
,RPHA100S-0250L-1S-H1,"NPT 1/4""",0.1-17 бар,100 Вт,от -40°C до 120°C,,
,RPHA100S-0500L-1S-H1,"NPT 1/4""",0.2-35 бар,100 Вт,от -40°C до 120°C,,
,RPHA100S-0025L-1S-H2,"NPT 1/4""",0.1-1.7 бар,100 Вт,от -40°C до 250°C,,
,RPHA100S-0050L-1S-H2,"NPT 1/4""",0.1-3.5 бар,100 Вт,от -40°C до 250°C,,
,RPHA100S-0100L-1S-H2,"NPT 1/4""",0.1-7 бар,100 Вт,от -40°C до 250°C,,
,RPHA100S-0250L-1S-H2,"NPT 1/4""",0.1-17 бар,100 Вт,от -40°C до 250°C,,
,RPHA100S-0500L-1S-H2,"NPT 1/4""",0.2-35 бар,100 Вт,от -40°C до 250°C,,
,RPHA100S-0025L-1S-H3,"NPT 1/4""",0.1-1.7 бар,100 Вт,от -40°C до 350°C,,
,RPHA100S-0050L-1S-H3,"NPT 1/4""",0.1-3.5 бар,100 Вт,от -40°C до 350°C,,
,RPHA100S-0100L-1S-H3,"NPT 1/4""",0.1-7 бар,100 Вт,от -40°C до 350°C,,
,RPHA100S-0250L-1S-H3,"NPT 1/4""",0.1-17 бар,100 Вт,от -40°C до 350°C,,
,RPHA100S-0500L-1S-H3,"NPT 1/4""",0.2-35 бар,100 Вт,от -40°C до 350°C,,
