#,Заказной код,Параметр:Заказной код:Описание,Параметр:Заказной код:Давление входное,Параметр:Заказной код:Давление выходное,Параметр:Заказной код:Расход,Параметр:Заказной код:Вход,Параметр:Заказной код:Вход
,F21210001,S2+ О2,200 бар,10 бар,30 м3/час,"G3/4""","G3/8"""
,F21210002,S2+ N,200 бар,10 бар,30 м3/час,"G3/4""","G3/8"""
,783127,Din Double Stage OXY,200 бар,20 бар,"2,5 м3/час","G3/4""","G3/8"""
,762137,S2+ CО2,200 бар,"0,7 бар","2,5 м3/час","G3/4""","G3/8"""
,ARV0488,S2+ Аргон,200 бар,2 бар,6 м3/час,"W21,8x1/14""","G3/8"""
,ARV0520,S2+ О2,200 бар,4 бар,12 м3/час,"W21,8x1/14""","G1/4"""
,ARV0534,S2+ Гелий,200 бар,"0,6 бар",2 м3/час,"W21,8x1/14""","G3/8"""
