#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Вход
,RPA4CP-RD-1.5-WL-HOS-H2,1.5 бар,"W21.8x1/14""LH"
,RPA4CP-RD-4-WL-HOS-H2,4 бар,"W21.8x1/14""LH"
,RPA4CP-RD-10-WL-HOS-H2,10 бар,"W21.8x1/14""LH"
,RPA4CP-RD-16-WL-HOS-H2,16 бар,"W21.8x1/14""LH"
