#,Заказной код,Параметр:Заказной код:Cv,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление
,HPR-2000,"0,06","NPT 1/4""",137 бар
,HPR-4000,"0,06","NPT 1/4""",275 бар
,HPR-6000,"0,06","NPT 1/4""",413 бар
,HPR-10000,"0,06","NPT 1/4""",689 бар
,HPR-15000,"0,06","NPT 1/4""",1034 бар
