#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Опция высокой температуры
,088S-025A-1S,NPT 1/4,25 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025A-1S-H1,NPT 1/4,25 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-025A-1S-H2,NPT 1/4,25 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-025A-1O,NPT 1/4,25 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025A-1O-H1,NPT 1/4,25 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-025A-1O-H2,NPT 1/4,25 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-025A-2S,NPT 1/2,25 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025A-2S-H1,NPT 1/2,25 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-025A-2S-H2,NPT 1/2,25 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-025A-2O,NPT 1/2,25 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025A-2O-H1,NPT 1/2,25 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-025A-2O-H2,NPT 1/2,25 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-025L-1S,NPT 1/4,25 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025L-1S-H1,NPT 1/4,25 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-025L-1S-H2,NPT 1/4,25 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-025L-1O,NPT 1/4,25 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025L-1O-H1,NPT 1/4,25 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-025L-1O-H2,NPT 1/4,25 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-025L-2S,NPT 1/2,25 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025L-2S-H1,NPT 1/2,25 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-025L-2S-H2,NPT 1/2,25 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-025L-2O,NPT 1/2,25 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025L-2O-H1,NPT 1/2,25 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-025L-2O-H2,NPT 1/2,25 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-025R-1S,NPT 1/4,25 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025R-1S-H1,NPT 1/4,25 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-025R-1S-H2,NPT 1/4,25 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-025R-1O,NPT 1/4,25 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025R-1O-H1,NPT 1/4,25 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-025R-1O-H2,NPT 1/4,25 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-025R-2S,NPT 1/2,25 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025R-2S-H1,NPT 1/2,25 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-025R-2S-H2,NPT 1/2,25 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-025R-2O,NPT 1/2,25 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-025R-2O-H1,NPT 1/2,25 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-025R-2O-H2,NPT 1/2,25 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-050A-1S,NPT 1/4,50 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050A-1S-H1,NPT 1/4,50 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-050A-1S-H2,NPT 1/4,50 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-050A-1O,NPT 1/4,50 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050A-1O-H1,NPT 1/4,50 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-050A-1O-H2,NPT 1/4,50 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-050A-2S,NPT 1/2,50 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
