#,Заказной код,Параметр:Заказной код:Описание,Параметр:Заказной код:Давление входное,Параметр:Заказной код:Давление выходное,Параметр:Заказной код:Вход,Параметр:Заказной код:Вход
,2117609,"БКО 50 12,5 mini",250 бар,25 бар,G3/4,"M16 × 1,5 + ниппель д. 6.3/9.0 мм"
,2117501,"БКО 50 12,5",250 бар,150 бар,G3/4,"M16 × 1,5 + ниппель д. 6.3/9.0 мм"
,2117515,БКО 50 КР,250 бар,150 бар,G3/4,"M16 × 1,5 + ниппель д. 6.3/9.0 мм"
,2117577,БКО 50 4,150 бар,25 бар,G3/4,М16х1.5
,2117600,БКО-50-2,150 бар,25 бар,G3/4,М16х1.5
,2117605,БКО-50-КР2,200 бар,"12,5 бар",G3/4,М16х1.5
,870456,BaseControl OXY,200 бар,10 бар,G3/4,G1/4
,870316,BaseControl SE OXY,200 бар,10 бар,G3/4,G1/4
,780792,DIN OX,200 бар,10 бар,G3/4,G1/4
,780630,DIN OX,200 бар,10 бар,"W21,8x1/14""",G1/4
,780912,DIN OX,200 бар,20 бар,G3/4,G1/4
,780628,DIN OX,200 бар,20 бар,"W21,8x1/14""",G1/4
,ARV0536,DIN OX,200 бар,30 бар,G3/4,G1/4
