#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Вход
,RPB4CP-RD-1.5-G-HOS-O2,1.5 бар,"G3/4"""
,RPB4CP-RD-1.5-W-HOS-O2,1.5 бар,"W21.8x1/14"""
,RPB4CP-RD-4-G-HOS-O2,4 бар,"G3/4"""
,RPB4CP-RD-4-W-HOS-O2,4 бар,"W21.8x1/14"""
,RPB4CP-RD-10-G-HOS-O2,10 бар,"G3/4"""
,RPB4CP-RD-10-W-HOS-O2,10 бар,"W21.8x1/14"""
,RPB4CP-RD-16-G-HOS-O2,16 бар,"G 3/4"""
,RPB4CP-RD-16-W-HOS-O2,16 бар,"W21.8x1/14"""
