#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура
,092-0025L-1S,"NPT 1/2""",0.1-1.7 бар,На -40°C
,092-0050L-1S,"NPT 1/2""",0.1-3.5 бар,На -40°C
,092-0100L-1S,"NPT 1/2""",0.1-7 бар,На -40°C
,092-0200L-1S,"NPT 1/2""",0.1-14 бар,На -40°C
,092-0200L-1S-V,"NPT 1/2""",0.1-14 бар,На -40°C
,092-0350L-1S,"NPT 1/2""",0.1-24 бар,На -40°C
,092-0025C-1S,"NPT 1/2""",0.1-1.7 бар,На -40°C
,092-0050C-1S,"NPT 1/2""",0.1-3.5 бар,На -40°C
,092-0100C-1S,"NPT 1/2""",0.1-7 бар,На -40°C
,092-0200C-1S,"NPT 1/2""",0.1-14 бар,На -40°C
,092-0350C-1S,"NPT 1/2""",0.1-24 бар,На -40°C
,092-0025C-1S-GAUGE,"NPT 1/2""",0.1-1.7 бар,На -40°C
,092-0050C-1S-GAUGE,"NPT 1/2""",0.1-3.5 бар,На -40°C
,092-0100C-1S-GAUGE,"NPT 1/2""",0.1-7 бар,На -40°C
,092-0200C-1S-GAUGE,"NPT 1/2""",0.1-14 бар,На -40°C
,092-0350C-1S-GAUGE,"NPT 1/2""",0.1-24 бар,На -40°C
,092-0025L-1S-GAUGE,"NPT 1/2""",0.1-1.7 бар,На -40°C
,092-0050L-1S-GAUGE,"NPT 1/2""",0.1-3.5 бар,На -40°C
,092-0100L-1S-GAUGE,"NPT 1/2""",0.1-7 бар,На -40°C
,092-0200L-1S-GAUGE,"NPT 1/2""",0.1-14 бар,На -40°C
,092-0350L-1S-GAUGE,"NPT 1/2""",0.1-24 бар,На -40°C
,092-0025L-1S-LT,"NPT 1/2""",0.1-1.7 бар,на -60°C
,092-0050L-1S-LT,"NPT 1/2""",0.1-3.5 бар,на -60°C
,092-0100L-1S-LT,"NPT 1/2""",0.1-7 бар,на -60°C
,092-0200L-1S-LT,"NPT 1/2""",0.1-14 бар,на -60°C
,092-0200L-1S-V-LT,"NPT 1/2""",0.1-14 бар,на -60°C
,092-0350L-1S-LT,"NPT 1/2""",0.1-24 бар,на -60°C
,092-0025C-1S-LT,"NPT 1/2""",0.1-1.7 бар,на -60°C
,092-0050C-1S-LT,"NPT 1/2""",0.1-3.5 бар,на -60°C
,092-0100C-1S-LT,"NPT 1/2""",0.1-7 бар,на -60°C
,092-0200C-1S-LT,"NPT 1/2""",0.1-14 бар,на -60°C
,092-0350C-1S-LT,"NPT 1/2""",0.1-24 бар,на -60°C
,092-0025C-1S-GAUGE-LT,"NPT 1/2""",0.1-1.7 бар,на -60°C
,092-0050C-1S-GAUGE-LT,"NPT 1/2""",0.1-3.5 бар,на -60°C
,092-0100C-1S-GAUGE-LT,"NPT 1/2""",0.1-7 бар,на -60°C
,092-0200C-1S-GAUGE-LT,"NPT 1/2""",0.1-14 бар,на -60°C
,092-0350C-1S-GAUGE-LT,"NPT 1/2""",0.1-24 бар,на -60°C
,092-0025L-1S-GAUGE-LT,"NPT 1/2""",0.1-1.7 бар,на -60°C
,092-0050L-1S-GAUGE-LT,"NPT 1/2""",0.1-3.5 бар,на -60°C
,092-0100L-1S-GAUGE-LT,"NPT 1/2""",0.1-7 бар,на -60°C
,092-0200L-1S-GAUGE-LT,"NPT 1/2""",0.1-14 бар,на -60°C
,092-0350L-1S-GAUGE-LT,"NPT 1/2""",0.1-24 бар,на -60°C
