#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Длина штока
,36535482,G 1/2 наруж.,-30…50,40 мм
,36523007,G 1/2 наруж.,-30…50,60 мм
,36535494,G 1/2 наруж.,-30…50,100мм
,36535537,G 1/2 наруж.,-20…60,40 мм
,36535538,G 1/2 наруж.,-20…60,60 мм
,36585274,G 1/2 наруж.,-20…60,100мм
,36535503,G 1/2 наруж.,-10…50,40 мм
,36535505,G 1/2 наруж.,-10…50,60 мм
,36535508,G 1/2 наруж.,0…60,40 мм
,36535507,G 1/2 наруж.,0…60,60 мм
,36535510,G 1/2 наруж.,0…60,100мм
,36535512,G 1/2 наруж.,0…60,160мм
,36535513,G 1/2 наруж.,0…80,40 мм
,36535514,G 1/2 наруж.,0…80,60 мм
,36523008,G 1/2 наруж.,0…120,40 мм
,36523009,G 1/2 наруж.,0…120,60 мм
,36523010,G 1/2 наруж.,0…120,100мм
,36535515,G 1/2 наруж.,0…120,160мм
,36535518,G 1/2 наруж.,0…120,200 мм
,36523011,G 1/2 наруж.,0…160,40 мм
,36523012,G 1/2 наруж.,0…160,60 мм
,36523013,G 1/2 наруж.,0…160,100мм
,36535519,G 1/2 наруж.,0…200,40 мм
,36535521,G 1/2 наруж.,0…200,60 мм
,36535522,G 1/2 наруж.,0…200,100мм
,36585783,G 1/2 наруж.,0…60,40 мм
,36585785,G 1/2 наруж.,0…60,60 мм
,36585776,G 1/2 наруж.,0…120,40 мм
,36585780,G 1/2 наруж.,0…120,60 мм
,36585782,G 1/2 наруж.,0…120,100мм
