#,Заказной код,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Тип и материал корпуса,Параметр:Заказной код:Длина штока
,36523048,от -30 до 50°C,стандартный алюминевый корпус,160 мм
,36535485,от -20 до 60°C,стандартный алюминевый корпус,160 мм
