#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Длина штока
,36535524,G 1/2 наруж.,-30…50,40 мм
,36523016,G 1/2 наруж.,-30…50,60 мм
,36535523,G 1/2 наруж.,-30…50,100мм
,36535526,G 1/2 наруж.,-20…60,40 мм
,36535527,G 1/2 наруж.,-20…60,60 мм
,36535528,G 1/2 наруж.,-20…60,100мм
,36535531,G 1/2 наруж.,-10…50,40 мм
,36535530,G 1/2 наруж.,-10…50,60 мм
,36535529,G 1/2 наруж.,-10…50,100мм
,36535532,G 1/2 наруж.,0…60,40 мм
,36535533,G 1/2 наруж.,0…60,60 мм
,36535535,G 1/2 наруж.,0…60,100мм
,36535536,G 1/2 наруж.,0…60,160 мм
,36535540,G 1/2 наруж.,0…80,40 мм
,36535541,G 1/2 наруж.,0…80,60 мм
,36523019,G 1/2 наруж.,0…120,40 мм
,36523020,G 1/2 наруж.,0…120,60 мм
,36523023,G 1/2 наруж.,0…120,100мм
,36535542,G 1/2 наруж.,0…120,160 мм
,36523024,G 1/2 наруж.,0…160,40 мм
,36523025,G 1/2 наруж.,0…160,60 мм
,36523026,G 1/2 наруж.,0…160,100мм
,36523027,G 1/2 наруж.,0…200,40 мм
,36523028,G 1/2 наруж.,0…200,60 мм
,36523029,G 1/2 наруж.,0…200,100мм
,36535546,G 1/2 наруж.,0…200,160 мм
,36585787,G 1/2 наруж.,0…60,60 мм
,36585788,G 1/2 наруж.,0…120,40 мм
,36585789,G 1/2 наруж.,0…120,60 мм
,36585791,G 1/2 наруж.,0…120,100мм
