#,Заказной код,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Тип и материал корпуса,Параметр:Заказной код:Длина штока
,36535352,0…60°C,G1/2 наруж.,стандартный алюминевый корпус,40 мм
,36535350,0…60°C,G1/2 наруж.,стандартный алюминевый корпус,60 мм
,36535349,0…60°C,G1/2 наруж.,стандартный алюминевый корпус,100 мм
,36535355,0…120°C,G1/2 наруж.,стандартный алюминевый корпус,40 мм
,36535356,0…120°C,G1/2 наруж.,стандартный алюминевый корпус,60 мм
,36535357,0…120°C,G1/2 наруж.,стандартный алюминевый корпус,100 мм
,36535388,0…60°C,G1/2 наруж.,стандартный стальной корпус,40 мм
,36535389,0…60°C,G1/2 наруж.,стандартный стальной корпус,60 мм
,36535390,0…60°C,G1/2 наруж.,стандартный стальной корпус,100 мм
,36535393,0…120°C,G1/2 наруж.,стандартный стальной корпус,40 мм
,36535392,0…120°C,G1/2 наруж.,стандартный стальной корпус,60 мм
,36535391,0…120°C,G1/2 наруж.,стандартный стальной корпус,100 мм
,36535411,0…60°C,G1/2 наруж.,стандартный пластиковый корпус,40 мм
,36535407,0…60°C,G1/2 наруж.,стандартный пластиковый корпус,60 мм
,36535410,0…120°C,G1/2 наруж.,стандартный пластиковый корпус,40 мм
,36535408,0…120°C,G1/2 наруж.,стандартный пластиковый корпус,60 мм
,36535409,0…120°C,G1/2 наруж.,стандартный пластиковый корпус,100 мм
,36521883,0…60°C,G1/2 наруж.,"накладной, с алюминиевым корпусом",без штока
,36521884,0…120°C,G1/2 наруж.,"накладной, с алюминиевым корпусом",без штока
