#,Заказной код,Параметр:Заказной код:Диаметр корпуса,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Диаметр штока,Параметр:Заказной код:Длина штока
,36535640,63 мм,0…120°C,8 мм,63 мм
,36535641,63 мм,0…120°C,8 мм,100 мм
,36535639,80 мм,-30…50°C,8 мм,63 мм
,36535637,80 мм,-30…50°C,8 мм,100 мм
,36535636,80 мм,0…60°C,8 мм,100 мм
,36535634,80 мм,0…120°C,8 мм,63 мм
,36535635,80 мм,0…120°C,8 мм,100 мм
,36535633,80 мм,0…160°C,8 мм,63 мм
,36535629,100 мм,0…60°C,8 мм,100 мм
,36535625,100 мм,0…120°C,8 мм,63 мм
,36535627,100 мм,0…120°C,8 мм,100 мм
,36535631,100 мм,0…160°C,8 мм,100 мм
