"#","Код","Параметр:Код:Подсоединение","Параметр:Код:Длина капиллярной трубки, мм","Параметр:Код:Микропереключатель","Параметр:Код:Наружный диаметр штока","Параметр:Код: Диапазон температур (W - с заполнением жидкостью / G - с заполнением газом).","Параметр:Код:Диаметр штока x Длина штока/Длина капиллярной трубки, мм","Параметр:Код:Микропереключатель","Параметр:Код:Длина штока (мм)"
,"ETS3000X-B-L(~70~+50)-0-A-1-130-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(~70~+50°С)","ø6ммx130мм<br>нет","SPDTx1","130мм"
,"ETS3000X-B-L(~70~+50)-0-A-1-130-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(~70~+50°С)","ø6ммx130мм<br>нет","SPDTx2","130мм"
,"ETS3000X-B-L(~70~+50)-0-A-2-90-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(~70~+50°С)","ø8ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(~70~+50)-0-A-2-90-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(~70~+50°С)","ø8ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(~70~+50)-0-A-4-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(~70~+50°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(~70~+50)-0-A-4-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(~70~+50°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(~70~+50)-0-B-1-130-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(~70~+50°С)","ø6ммx130мм<br>нет","SPDTx1","130мм"
,"ETS3000X-B-L(~70~+50)-0-B-1-130-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(~70~+50°С)","ø6ммx130мм<br>нет","SPDTx2","130мм"
,"ETS3000X-B-L(~70~+50)-0-B-2-90-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(~70~+50°С)","ø8ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(~70~+50)-0-B-2-90-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(~70~+50°С)","ø8ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(~70~+50)-0-B-4-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(~70~+50°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(~70~+50)-0-B-4-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(~70~+50°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(~50~+50)-0-A-1-156-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(~50~+50°С)","ø6ммx156мм<br>нет","SPDTx1","156мм"
,"ETS3000X-B-L(~50~+50)-0-A-1-156-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(~50~+50°С)","ø6ммx156мм<br>нет","SPDTx2","156мм"
,"ETS3000X-B-L(~50~+50)-0-A-2-100-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(~50~+50°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-L(~50~+50)-0-A-2-100-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(~50~+50°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-L(~50~+50)-0-A-4-90-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(~50~+50°С)","ø12ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(~50~+50)-0-A-4-90-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(~50~+50°С)","ø12ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(~50~+50)-0-B-1-156-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(~50~+50°С)","ø6ммx156мм<br>нет","SPDTx1","156мм"
,"ETS3000X-B-L(~50~+50)-0-B-1-156-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(~50~+50°С)","ø6ммx156мм<br>нет","SPDTx2","156мм"
,"ETS3000X-B-L(~50~+50)-0-B-2-100-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(~50~+50°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-L(~50~+50)-0-B-2-100-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(~50~+50°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-L(~50~+50)-0-B-4-90-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(~50~+50°С)","ø12ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(~50~+50)-0-B-4-90-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(~50~+50°С)","ø12ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(~30~+50)-0-A-1-195-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(~30~+50°С)","ø6ммx195мм<br>нет","SPDTx1","195мм"
,"ETS3000X-B-L(~30~+50)-0-A-1-195-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(~30~+50°С)","ø6ммx195мм<br>нет","SPDTx2","195мм"
,"ETS3000X-B-L(~30~+50)-0-A-2-110-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(~30~+50°С)","ø8ммx110мм<br>нет","SPDTx1","110мм"
,"ETS3000X-B-L(~30~+50)-0-A-2-110-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(~30~+50°С)","ø8ммx110мм<br>нет","SPDTx2","110мм"
,"ETS3000X-B-L(~30~+50)-0-A-4-90-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(~30~+50°С)","ø12ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(~30~+50)-0-A-4-90-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(~30~+50°С)","ø12ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(~30~+50)-0-B-1-195-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(~30~+50°С)","ø6ммx195мм<br>нет","SPDTx1","195мм"
,"ETS3000X-B-L(~30~+50)-0-B-1-195-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(~30~+50°С)","ø6ммx195мм<br>нет","SPDTx2","195мм"
,"ETS3000X-B-L(~30~+50)-0-B-2-110-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(~30~+50°С)","ø8ммx110мм<br>нет","SPDTx1","110мм"
,"ETS3000X-B-L(~30~+50)-0-B-2-110-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(~30~+50°С)","ø8ммx110мм<br>нет","SPDTx2","110мм"
,"ETS3000X-B-L(~30~+50)-0-B-4-90-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(~30~+50°С)","ø12ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(~30~+50)-0-B-4-90-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(~30~+50°С)","ø12ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(~30~+100)-0-A-1-120-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(~30~+100°С)","ø6ммx120мм<br>нет","SPDTx1","120мм"
,"ETS3000X-B-L(~30~+100)-0-A-1-120-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(~30~+100°С)","ø6ммx120мм<br>нет","SPDTx2","120мм"
,"ETS3000X-B-L(~30~+100)-0-A-2-90-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(~30~+100°С)","ø8ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(~30~+100)-0-A-2-90-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(~30~+100°С)","ø8ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(~30~+100)-0-A-4-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(~30~+100°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(~30~+100)-0-A-4-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(~30~+100°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(~30~+100)-0-B-1-120-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(~30~+100°С)","ø6ммx120мм<br>нет","SPDTx1","120мм"
,"ETS3000X-B-L(~30~+100)-0-B-1-120-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(~30~+100°С)","ø6ммx120мм<br>нет","SPDTx2","120мм"
,"ETS3000X-B-L(~30~+100)-0-B-2-90-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(~30~+100°С)","ø8ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(~30~+100)-0-B-2-90-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(~30~+100°С)","ø8ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(~30~+100)-0-B-4-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(~30~+100°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(~30~+100)-0-B-4-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(~30~+100°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(~10~+50)-0-A-1-260-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(~10~+50°С)","ø6ммx260мм<br>нет","SPDTx1","260мм"
,"ETS3000X-B-L(~10~+50)-0-A-1-260-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(~10~+50°С)","ø6ммx260мм<br>нет","SPDTx2","260мм"
