#,Заказной код,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Тип и материал корпуса,Параметр:Заказной код:Длина штока
,36535364,0…60°C,G1/2 наруж.,стандартный алюминевый корпус,40 мм
,36535365,0…60°C,G1/2 наруж.,стандартный алюминевый корпус,60 мм
,36535366,0…60°C,G1/2 наруж.,стандартный алюминевый корпус,100 мм
,36535369,0…120°C,G1/2 наруж.,стандартный алюминевый корпус,40 мм
,36535368,0…120°C,G1/2 наруж.,стандартный алюминевый корпус,60 мм
,36535367,0…120°C,G1/2 наруж.,стандартный алюминевый корпус,100 мм
,36535395,0…60°C,G1/2 наруж.,стандартный стальной корпус,40 мм
,36535396,0…60°C,G1/2 наруж.,стандартный стальной корпус,60 мм
,36535397,0…60°C,G1/2 наруж.,стандартный стальной корпус,100 мм
,36535400,0…120°C,G1/2 наруж.,стандартный стальной корпус,40 мм
,36535399,0…120°C,G1/2 наруж.,стандартный стальной корпус,60 мм
,36535398,0…120°C,G1/2 наруж.,стандартный стальной корпус,100 мм
,36535413,0…60°C,G1/2 наруж.,стандартный пластиковый корпус,40 мм
,36535412,0…60°C,G1/2 наруж.,стандартный пластиковый корпус,60 мм
,36535414,0…60°C,G1/2 наруж.,стандартный пластиковый корпус,100 мм
,36535417,0…120°C,G1/2 наруж.,стандартный пластиковый корпус,40 мм
,36535416,0…120°C,G1/2 наруж.,стандартный пластиковый корпус,60 мм
,36535415,0…120°C,G1/2 наруж.,стандартный пластиковый корпус,100 мм
