#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Длина штока
,36535544,G 1/2 наруж.,-30…50,40 мм
,36523030,G 1/2 наруж.,-30…50,60 мм
,36523031,G 1/2 наруж.,-30…50,100мм
,36535545,G 1/2 наруж.,-30…50,160 мм
,36535547,G 1/2 наруж.,-20…60,60 мм
,36535548,G 1/2 наруж.,-20…60,100мм
,36535549,G 1/2 наруж.,-20…60,160 мм
,36524577,G 1/2 наруж.,-10…50,40 мм
,36535554,G 1/2 наруж.,-10…50,60 мм
,36535555,G 1/2 наруж.,-10…50,100мм
,36535556,G 1/2 наруж.,-10…50,160 мм
,36523037,G 1/2 наруж.,0…60,40 мм
,36523038,G 1/2 наруж.,0…60,60 мм
,36523039,G 1/2 наруж.,0…60,100мм
,36523720,G 1/2 наруж.,0…60,160 мм
,3904814,G 1/2 наруж.,0…80,60 мм
,3904822,G 1/2 наруж.,0…80,100мм
,36523040,G 1/2 наруж.,0…120,40 мм
,36523041,G 1/2 наруж.,0…120,60 мм
,36523042,G 1/2 наруж.,0…120,100мм
,36523043,G 1/2 наруж.,0…120,160 мм
,3562972,G 1/2 наруж.,0…160,40 мм
,36523044,G 1/2 наруж.,0…160,60 мм
,36523045,G 1/2 наруж.,0…160,100мм
,36524270,G 1/2 наруж.,0…160,160 мм
,36524266,G 1/2 наруж.,0…160,200 мм
,36523046,G 1/2 наруж.,0…200,60 мм
,36523047,G 1/2 наруж.,0…200,100мм
,36534763,G 1/2 наруж.,0…200,160 мм
,3905306,G 1/2 наруж.,0…200,200 мм
,36585798,G 1/2 наруж.,0…60,40 мм
,36585796,G 1/2 наруж.,0…60,60 мм
,36585795,G 1/2 наруж.,0…60,100мм
,36585799,G 1/2 наруж.,0…120,40 мм
,36585800,G 1/2 наруж.,0…120,60 мм
,36585804,G 1/2 наруж.,0…120,100мм
