#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Диаметр корпуса,Параметр:Заказной код:Диаметр штока,Параметр:Заказной код:Длина штока,Параметр:Заказной код:Конфигурация
,36534861,"гладкое, с шейкой для присоединения к защитной гильзе",0…400,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534863,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,63 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534864,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,63 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534866,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534867,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,63 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534873,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,63 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534871,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,63 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534869,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534868,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,63 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534882,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,63 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534875,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,63 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534877,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,63 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534879,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534881,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,63 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534884,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,63 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534889,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,63 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534891,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534893,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,63 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534897,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,63 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534898,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,63 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534901,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534904,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,63 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534908,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,63 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534910,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,63 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534912,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534922,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,63 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534924,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,63 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534935,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,63 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534914,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
