#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Длина штока
,36535604,G 1/2 наруж.,0…120,60 мм
,36535605,G 1/2 наруж.,0…120,100мм
,36535606,G 1/2 наруж.,0…120,160 мм
,36535608,G 1/2 наруж.,0…160,100мм
,36535607,G 1/2 наруж.,0…160,160 мм
,36535609,G 1/2 наруж.,0…200,100мм
,36535610,G 1/2 наруж.,0…200,160 мм
