#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Материал,Параметр:Заказной код:Фильтрующий элемент
,FI1-F-2N-WF,NPT 1/8 внутр.,2.4,S316,без фильтрующего элемента
,FI2-F-4N-WF,NPT 1/4 внутр.,4.8,S316,без фильтрующего элемента
,FI3-F-6N-WF,NPT 3/8 внутр.,7.1,S316,без фильтрующего элемента
,FI4-F-8N-WF,NPT 1/2 внутр.,10.4,S316,без фильтрующего элемента
,FI1-M-2N-WF,NPT 1/8 наруж.,2.4,S316,без фильтрующего элемента
,FI1-M-4N-WF,NPT 1/4 наруж.,2.4,S316,без фильтрующего элемента
,FI2-M-4N-WF,NPT 1/4 наруж.,4.8,S316,без фильтрующего элемента
,FI2-M-6N-WF,NPT 3/8 наруж.,7.1,S316,без фильтрующего элемента
,FI3-M-6N-WF,NPT 3/8 наруж.,7.1,S316,без фильтрующего элемента
,FI3-M-8N-WF,NPT 1/2 наруж.,7.1,S316,без фильтрующего элемента
,FI4-M-8N-WF,NPT 1/2 наруж.,10.4,S316,без фильтрующего элемента
,FI1-H-2T-WF,Hy-Lok 1/8,2.4,S316,без фильтрующего элемента
,FI2-H-4T-WF,Hy-Lok 1/4,4.8,S316,без фильтрующего элемента
,FI2-H-6T-WF,Hy-Lok 3/8,4.8,S316,без фильтрующего элемента
,FI3-H-6T-WF,Hy-Lok 3/8,7.1,S316,без фильтрующего элемента
,FI3-H-8T-WF,Hy-Lok 1/2,10.4,S316,без фильтрующего элемента
,FI1-H-3M-WF,Hy-Lok 3мм,2.4,S316,без фильтрующего элемента
,FI2-H-8M-WF,Hy-Lok 8мм,4.8,S316,без фильтрующего элемента
,FI3-H-10M-WF,Hy-Lok 10мм,7.1,S316,без фильтрующего элемента
,FI3-H-12M-WF,Hy-Lok 12мм,7.1,S316,без фильтрующего элемента
,FI4-H-12M-WF,Hy-Lok 12мм,10.4,S316,без фильтрующего элемента
,FI4-H-8T-WF,Hy-Lok 1/2,10.4,S316,без фильтрующего элемента
,FI2-H-6M-WF,Hy-Lok 6мм,4.8,S316,без фильтрующего элемента
,FI1-F-2N-WF-BRAS,NPT 1/8 внутр.,2.4,BRAS,без фильтрующего элемента
,FI2-F-4N-WF-BRAS,NPT 1/4 внутр.,4.8,BRAS,без фильтрующего элемента
,FI3-F-6N-WF-BRAS,NPT 3/8 внутр.,7.1,BRAS,без фильтрующего элемента
,FI4-F-8N-WF-BRAS,NPT 1/2 внутр.,10.4,BRAS,без фильтрующего элемента
,FI1-M-2N-WF-BRAS,NPT 1/8 наруж.,2.4,BRAS,без фильтрующего элемента
,FI1-M-4N-WF-BRAS,NPT 1/4 наруж.,4.8,BRAS,без фильтрующего элемента
,FI2-M-6N-WF-BRAS,NPT 3/8 наруж.,7.1,BRAS,без фильтрующего элемента
,FI3-M-8N-WF-BRAS,NPT 1/2 наруж.,10.4,BRAS,без фильтрующего элемента
,FI1-H-2T-WF-BRAS,Hy-Lok 1/8,2.4,BRAS,без фильтрующего элемента
,FI2-H-4T-WF-BRAS,Hy-Lok 1/4,4.8,BRAS,без фильтрующего элемента
,FI2-H-6T-WF-BRAS,Hy-Lok 3/8,7.1,BRAS,без фильтрующего элемента
,FI3-H-8T-WF-BRAS,Hy-Lok 1/2,10.4,BRAS,без фильтрующего элемента
,FI1-H-3M-WF-BRAS,Hy-Lok 3мм,2.4,BRAS,без фильтрующего элемента
,FI2-H-8M-WF-BRAS,Hy-Lok 8мм,4.8,BRAS,без фильтрующего элемента
,FI3-H-10M-WF-BRAS,Hy-Lok 10мм,7.1,BRAS,без фильтрующего элемента
,FI3-H-12M-WF-BRAS,Hy-Lok 12мм,7.1,BRAS,без фильтрующего элемента
,FI4-H-12M-WF-BRAS,Hy-Lok 12мм,10.4,BRAS,без фильтрующего элемента
