#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Фильтрующий элемент
,FT-F-4N-1,NPT 1/4 внутр.,S316,1 микрон
,FT-F-4R-1,RT 1/4 внутр.,S316,1 микрон
,FT-F-6N-1,NPT 3/8 внутр.,S316,1 микрон
,FT-F-6R-1,RT 3/8 внутр.,S316,1 микрон
,FT-F-8N-1,NPT 1/2 внутр.,S316,1 микрон
,FT-F-8R-1,RT 1/2 внутр.,S316,1 микрон
,FT-M-4N-1,NPT 1/4 наруж.,S316,1 микрон
,FT-M-4R-1,RT 1/4 наруж.,S316,1 микрон
,FT-H-3M-1-BRAS,Hy-Lok 3mm,BRAS,1 микрон
,FT-H-6M-1-BRAS,Hy-Lok 6mm,BRAS,1 микрон
,FT-H-8M-1-BRAS,Hy-Lok 8mm,BRAS,1 микрон
,FT-H-10M-1-BRAS,Hy-Lok 10mm,BRAS,1 микрон
,FT-H-12M-1-BRAS,Hy-Lok 12mm,BRAS,1 микрон
,FT-H-2T-1-BRAS,Hy-Lok 1/8,BRAS,1 микрон
,FT-H-4T-1-BRAS,Hy-Lok 1/4,BRAS,1 микрон
,FT-H-6T-1-BRAS,Hy-Lok 3/8,BRAS,1 микрон
,FT-H-8T-1-BRAS,Hy-Lok 1/2,BRAS,1 микрон
,FT-F-2N-1-BRAS,NPT 1/8 внутр.,BRAS,1 микрон
,FT-F-2R-1-BRAS,RT 1/8 внутр.,BRAS,1 микрон
,FT-F-4N-1-BRAS,NPT 1/4 внутр.,BRAS,1 микрон
,FT-F-4R-1-BRAS,RT 1/4 внутр.,BRAS,1 микрон
,FT-F-6N-1-BRAS,NPT 3/8 внутр.,BRAS,1 микрон
,FT-F-6R-1-BRAS,RT 3/8 внутр.,BRAS,1 микрон
,FT-F-8N-1-BRAS,NPT 1/2 внутр.,BRAS,1 микрон
,FT-F-8R-1-BRAS,RT 1/2 внутр.,BRAS,1 микрон
,FT-M-4N-1-BRAS,NPT 1/4 наруж.,BRAS,1 микрон
,FT-M-4R-1-BRAS,RT 1/4 наруж.,BRAS,1 микрон
,FT-H-3M-10,Hy-Lok 3mm,S316,10 микрон
,FT-H-6M-10,Hy-Lok 6mm,S316,10 микрон
,FT-H-8M-10,Hy-Lok 8mm,S316,10 микрон
,FT-H-10M-10,Hy-Lok 10mm,S316,10 микрон
,FT-H-12M-10,Hy-Lok 12mm,S316,10 микрон
,FT-H-2T-10,Hy-Lok 1/8,S316,10 микрон
,FT-H-4T-10,Hy-Lok 1/4,S316,10 микрон
,FT-H-6T-10,Hy-Lok 3/8,S316,10 микрон
,FT-H-8T-10,Hy-Lok 1/2,S316,10 микрон
,FT-F-2N-10,NPT 1/8 внутр.,S316,10 микрон
,FT-F-2R-10,RT 1/8 внутр.,S316,10 микрон
,FT-F-4N-10,NPT 1/4 внутр.,S316,10 микрон
,FT-F-4R-10,RT 1/4 внутр.,S316,10 микрон
,FT-F-6N-10,NPT 3/8 внутр.,S316,10 микрон
,FT-F-6R-10,RT 3/8 внутр.,S316,10 микрон
,FT-F-8N-10,NPT 1/2 внутр.,S316,10 микрон
,FT-F-8R-10,RT 1/2 внутр.,S316,10 микрон
,FT-M-4N-10,NPT 1/4 наруж.,S316,10 микрон
,FT-M-4R-10,RT 1/4 наруж.,S316,10 микрон
,FT-H-3M-10-BRAS,Hy-Lok 3mm,BRAS,10 микрон
,FT-H-6M-10-BRAS,Hy-Lok 6mm,BRAS,10 микрон
,FT-H-8M-10-BRAS,Hy-Lok 8mm,BRAS,10 микрон
,FT-H-10M-10-BRAS,Hy-Lok 10mm,BRAS,10 микрон
,FT-H-12M-10-BRAS,Hy-Lok 12mm,BRAS,10 микрон
,FT-H-2T-10-BRAS,Hy-Lok 1/8,BRAS,10 микрон
,FT-H-4T-10-BRAS,Hy-Lok 1/4,BRAS,10 микрон
,FT-H-6T-10-BRAS,Hy-Lok 3/8,BRAS,10 микрон
,FT-H-8T-10-BRAS,Hy-Lok 1/2,BRAS,10 микрон
,FT-F-2N-10-BRAS,NPT 1/8 внутр.,BRAS,10 микрон
,FT-F-2R-10-BRAS,RT 1/8 внутр.,BRAS,10 микрон
,FT-F-4N-10-BRAS,NPT 1/4 внутр.,BRAS,10 микрон
,FT-F-4R-10-BRAS,RT 1/4 внутр.,BRAS,10 микрон
,FT-F-6N-10-BRAS,NPT 3/8 внутр.,BRAS,10 микрон
,FT-F-6R-10-BRAS,RT 3/8 внутр.,BRAS,10 микрон
,FT-F-8N-10-BRAS,NPT 1/2 внутр.,BRAS,10 микрон
,FT-F-8R-10-BRAS,RT 1/2 внутр.,BRAS,10 микрон
,FT-M-4N-10-BRAS,NPT 1/4 наруж.,BRAS,10 микрон
,FT-M-4R-10-BRAS,RT 1/4 наруж.,BRAS,10 микрон
,FT-H-3M-50,Hy-Lok 3mm,S316,50 микрон
,FT-H-6M-50,Hy-Lok 6mm,S316,50 микрон
,FT-H-8M-50,Hy-Lok 8mm,S316,50 микрон
,FT-H-10M-50,Hy-Lok 10mm,S316,50 микрон
,FT-H-12M-50,Hy-Lok 12mm,S316,50 микрон
,FT-H-2T-50,Hy-Lok 1/8,S316,50 микрон
,FT-H-4T-50,Hy-Lok 1/4,S316,50 микрон
,FT-H-6T-50,Hy-Lok 3/8,S316,50 микрон
,FT-H-8T-50,Hy-Lok 1/2,S316,50 микрон
,FT-F-2N-50,NPT 1/8 внутр.,S316,50 микрон
,FT-F-2R-50,RT 1/8 внутр.,S316,50 микрон
,FT-F-4N-50,NPT 1/4 внутр.,S316,50 микрон
,FT-F-4R-50,RT 1/4 внутр.,S316,50 микрон
,FT-F-6N-50,NPT 3/8 внутр.,S316,50 микрон
,FT-F-6R-50,RT 3/8 внутр.,S316,50 микрон
,FT-F-8N-50,NPT 1/2 внутр.,S316,50 микрон
,FT-F-8R-50,RT 1/2 внутр.,S316,50 микрон
,FT-M-4N-50,NPT 1/4 наруж.,S316,50 микрон
,FT-M-4R-50,RT 1/4 наруж.,S316,50 микрон
