#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36587488,"2,5",63 мм,"G 1/4""",черный пластик,"0,6 бар"
,36536445,"2,5",63 мм,"G 1/4""",черный пластик,"2,5 бар"
,36527513,"2,5",63 мм,"G 1/4""",черный пластик,6 бар
,36587489,"2,5",63 мм,"G 1/4""",черный пластик,10 бар
,36587490,"2,5",63 мм,"G 1/4""",черный пластик,16 бар
,36530223,"2,5",63 мм,"G 1/4""",черный пластик,25 бар
,36587491,"2,5",63 мм,"G 1/4""",черный пластик,40 бар
,36587492,"2,5",63 мм,"G 1/4""",черный пластик,70 бар
,36587493,"2,5",63 мм,"G 1/4""",черный пластик,100 бар
,36529176,"2,5",63 мм,"G 1/4""",черный пластик,160 бар
,36587494,"2,5",63 мм,"G 1/4""",черный пластик,250 бар
,36587495,"2,5",63 мм,"G 1/4""",черный пластик,400 бар
