#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления
,36495161,100 мм,G1/2,"1,6","0,6 бар"
,36595113,100 мм,G1/2,"1,6","2,5 бар"
,36595114,100 мм,G1/2,"1,6",6 бар
,36560155,100 мм,G1/2,"1,6",10 бар
,36587116,100 мм,G1/2,"1,6",16 бар
,36595115,100 мм,G1/2,"1,6",25 бар
,36595117,100 мм,G1/2,"1,6",30 бар
