#,Заказной код,Параметр:Заказной код:Материал,Параметр:Заказной код:Трубка,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Сварной шов
,POT-2-C-1-2-1,SS316,Sch40S,"NPT 1/2"" внутр.",нет
,POT-2-C-2-2-1,SS316,Sch80S,"NPT 1/2"" внутр.",нет
