#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Давление
,G84-P-4N-75A-1bar,"NPT 1/4""",75мм,от 0 до 1бар
,G84-P-4N-75A-3.5bar,"NPT 1/4""",75мм,от 0 до 3.5бар
,G84-P-4N-75A-7bar,"NPT 1/4""",75мм,от 0 до 7бар
,G84-P-4N-75A-14bar,"NPT 1/4""",75мм,от 0 до 14бар
,G84-P-4N-75A-20bar,"NPT 1/4""",75мм,от 0 до 20бар
,G84-P-4N-75A-35bar,"NPT 1/4""",75мм,от 0 до 35бар
,G84-P-4N-75A-70bar,"NPT 1/4""",75мм,от 0 до 70бар
,G84-P-4N-75A-207bar,"NPT 1/4""",75мм,от 0 до 207бар
,G84-P-4N-75A-345bar,"NPT 1/4""",75мм,от 0 до 345бар
