#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Давление
,G86-P-2R-40A-10bar,"BSPT 1/8""",40x40мм,от 0 до 10бар
,G86-P-2R-40A-35bar,"BSPT 1/8""",40x40мм,от 0 до 35бар
,G86-P-2R-40A-100bar,"BSPT 1/8""",40x40мм,от 0 до 100бар
,G86-P-2R-40A-250bar,"BSPT 1/8""",40x40мм,от 0 до 250бар
