#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление
,VNTB1-G-160BAR,G3/4,до 160 бар
,VNTB1-W-160BAR,W21.8,до 160 бар
,VNTB1-WL-160BAR,W21.8LH,до 160 бар
