#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,711-11-100-0-1,100 мм,2хG1/2B,снизу,от 0 до 1 бар / mWS
,"711-11-100-0-1,6",100 мм,2хG1/2B,снизу,"от 0 до 1,6 бар / mWS"
,"711-11-100-0-2,5",100 мм,2хG1/2B,снизу,"от 0 до 2,5 бар / mWS"
,711-11-100-0-4,100 мм,2хG1/2B,снизу,от 0 до 4 бар / mWS
,711-11-100-0-6,100 мм,2хG1/2B,снизу,от 0 до 6 бар / mWS
,711-11-100-0-10,100 мм,2хG1/2B,снизу,от 0 до 10 бар / mWS
,711-11-100-0-16,100 мм,2хG1/2B,снизу,от 0 до 16 бар / mWS
,711-11-100-0-25,100 мм,2хG1/2B,снизу,от 0 до 25 бар / mWS
,711-11-100-0-40,100 мм,2хG1/2B,снизу,от 0 до 40 бар / mWS
,711-11-100-0-60,100 мм,2хG1/2B,снизу,от 0 до 60 бар / mWS
