#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36588877,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,1 бар
,36588879,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,"2,5 бар"
,36588880,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,6 бар
,36588881,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,10 бар
,36588882,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,16 бар
,36588883,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,25 бар
,36588884,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,40 бар
,36588885,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,70 бар
,36588886,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,100 бар
,36588887,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,160 бар
,36588888,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,250 бар
,36588889,"1,6",50 мм,"NPT 1/4""",Нержавеющая сталь,400 бар
