pagetitle,15;16;17;60;82;84;85;6
"UA-200-S-1-1-1-1";"";"NPT 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"NBR";"SS304";"SS304";;
"UA-200-S-1-1-1-2";"";"NPT 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"NBR";"SS304";"Алюминий";"assets/images/ua.png";
"UA-200-S-1-2-1-1";"";"NPT 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"Витон";"SS304";"SS304";"assets/images/ua.png";
"UA-200-S-1-2-1-2";"";"NPT 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"Витон";"SS304";"Алюминий";"assets/images/ua.png";
"UA-200-S-1-3-1-1";"";"NPT 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"Тефлон";"SS304";"SS304";"assets/images/ua.png";
"UA-200-S-1-3-1-2";"";"NPT 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"Тефлон";"SS304";"Алюминий";"assets/images/ua.png";
"UA-200-S-1-4-1-1";"";"NPT 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"Нет (для серии UC)";"SS304";"SS304";"assets/images/ua.png";
"UA-200-S-1-4-1-2";"";"NPT 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"Нет (для серии UC)";"SS304";"Алюминий";"assets/images/ua.png";
"UA-200-S-2-1-1-1";"";"G 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"NBR";"SS304";"SS304";"assets/images/ua.png";
"UA-200-S-2-1-1-2";"";"G 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"NBR";"SS304";"Алюминий";"assets/images/ua.png";
"UA-200-S-2-2-1-1";"";"G 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"Витон";"SS304";"SS304";"assets/images/ua.png";
"UA-200-S-2-2-1-2";"";"G 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"Витон";"SS304";"Алюминий";"assets/images/ua.png";
"UA-200-S-2-3-1-1";"";"G 1/4";"±100 мм.водяного столба";"Нержавеющая сталь";"Тефлон";"SS304";"SS304";"assets/images/ua.png";
