#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Инструмент,Параметр:Заказной код:Процесс
,SY-2-G-2-2-2,до 300 бар,"NPT 1/2"" внутр.","NPT 1/2"" наруж."
,SY-2-H-2-2-2,до 300 бар,"NPT 1/2"" внутр.","Патрубок для приварки 1/2"""
,SY-2-I-2-2-2,до 300 бар,"NPT 1/2"" внутр.","BSP 1/2"" наруж."
,SY-2-J-2-2-2,до 300 бар,"BSP 1/2"" внутр.","NPT 1/2"" наруж."
,SY-2-L-2-2-2,до 300 бар,"BSP 1/2"" внутр.","BSP 1/2"" наруж."
,SY-2-T-2-2-2,до 300 бар,M20x1.5 внутр.,M20x1.5 наруж.
,SY-2-K-2-2-2,до 300 бар,"BSP 1/2"" внутр.","Патрубок для приварки 1/2"""
,SY-2-S-2-2-2,до 300 бар,M20x1.5 внутр.,"Патрубок для приварки 1/2"""
