#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Материал
,36565689,100 м,"G1/2""",1,1 бар,Нержавеющая сталь
,36589806,100 м,"G1/2""",1,4 бар,Нержавеющая сталь
,36565020,100 м,"G1/2""",1,10 бар,Нержавеющая сталь
,36589807,100 м,"G1/2""",1,16 бар,Нержавеющая сталь
,36542247,100 м,"G1/2""",1,25 бар,Нержавеющая сталь
,36589646,100 м,"G1/2""",1,40 бар,Нержавеющая сталь
,36589809,100 м,"G1/2""",1,70 бар,Нержавеющая сталь
,36589810,100 м,"G1/2""",1,100 бар,Нержавеющая сталь
,36589811,100 м,"G1/2""",1,160 бар,Нержавеющая сталь
,36589812,100 м,"G1/2""",1,250 бар,Нержавеющая сталь
,36589813,100 м,"G1/2""",1,400 бар,Нержавеющая сталь
