#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,7332072,80мм,2xG1/4 внутр.,+/- 3%,от 0 до 400 мбар
,7348470,80мм,2xG1/4 внутр.,+/- 3%,"от 0 до 0,6 бар"
,7348488,80мм,2xG1/4 внутр.,+/- 3%,от 0 до 1 бар
,7348496,80мм,2xG1/4 внутр.,+/- 3%,"от 0 до 1,6 бар"
,7348500,80мм,2xG1/4 внутр.,+/- 3%,"от 0 до 2,5 бар"
,7348518,80мм,2xG1/4 внутр.,+/- 3%,от 0 до 4 бар
,7349247,80мм,2xG1/4 внутр.,+/- 3%,от 0 до 6 бар
,7349263,80мм,2xG1/4 внутр.,+/- 3%,от 0 до 10 бар
,12308561,80мм,2xG1/4 внутр.,+/- 5%,от 0 до 160 мбар
,12308596,80мм,2xG1/4 внутр.,+/- 5%,от 0 до 250 тбар
,12309605,80мм,2xG1/4 внутр.,+/- 5%,от 0 до 400 тбар
,7328457,80мм,2xG1/4 внутр.,+/- 5%,"от 0 до 0,6 бар"
,7172814,80мм,2xG1/4 внутр.,+/- 5%,от 0 до 1 бар
,7087590,80мм,2xG1/4 внутр.,+/- 5%,"от 0 до 1,6 бар"
,7742542,80мм,2xG1/4 внутр.,+/- 5%,"от 0 до 2,5 бар"
