#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура,Параметр:Заказной код:Уплотнение
,VNZ-MF-4G,BSPP 1/4'',BSPP 1/4'',400 бар,от -25°С до +240°С,FKM
,VNZ-MF-4N,"NPT 1/4""","NPT 1/4""",400 бар,от -25°С до +240°С,FKM
,VNZ-MF-8G,"BSPP 1/2""","BSPP 1/2""",400 бар,от -25°С до +240°С,FKM
,VNZ-MF-8N,"NPT 1/2""","NPT 1/2""",400 бар,от -25°С до +240°С,FKM
,VNZ-MF-M12,M12x1.5,M12x1.5,400 бар,от -25°С до +240°С,FKM
,VNZ-MF-M20,M20x1.5,M20x1.5,400 бар,от -25°С до +240°С,FKM
