#,Заказной код,Параметр:Заказной код:Точность,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Питание,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Корпус
,43353754,2,"G 1/4"" B EN 837",7...30 В DC,0…6 бар,"4...20 мA, 2-проводной",Нерж. сталь
,13395204,2,"G 1/4"" B EN 837",7...30 В DC,0…10 бар,"4...20 мA, 2-проводной",Нерж. сталь
,40289133,2,"G 1/4"" B EN 837",7...30 В DC,0…15 бар,"4...20 мA, 2-проводной",Нерж. сталь
,13395182,2,"G 1/4"" B EN 837",7...30 В DC,0…16 бар,"4...20 мA, 2-проводной",Нерж. сталь
,67217433,2,"G 1/4"" B EN 837",7...30 В DC,0…20 бар,"4...20 мA, 2-проводной",Нерж. сталь
,13395123,2,"G 1/4"" B EN 837",7...30 В DC,0…25 бар,"4...20 мA, 2-проводной",Нерж. сталь
,13406043,2,"G 1/4"" B EN 837",7...30 В DC,0…30 бар,"4...20 мA, 2-проводной",Нерж. сталь
,36516821,2,"G 1/4"" B EN 837",7...30 В DC,0…35 бар,"4...20 мA, 2-проводной",Нерж. сталь
,36182656,2,"G 1/4"" B EN 837",7...30 В DC,0…40 бар,"4...20 мA, 2-проводной",Нерж. сталь
,36516822,2,"G 1/4"" B EN 837",7...30 В DC,0…45 бар,"4...20 мA, 2-проводной",Нерж. сталь
,36516823,2,"G 1/4"" B EN 837",7...30 В DC,0…50 бар,"4...20 мA, 2-проводной",Нерж. сталь
,13114263,2,"G 1/4"" B EN 837",7...30 В DC,0…60 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14134756,2,"G 1/4"" B EN 837",7...30 В DC,0…100 бар,"4...20 мA, 2-проводной",Нерж. сталь
,36516824,2,"G 1/4"" B EN 837",7...30 В DC,0…160 бар,"4...20 мA, 2-проводной",Нерж. сталь
,14056018,2,"G 1/4"" B EN 837",7...30 В DC,-1…+7 бар,"4...20 мA, 2-проводной",Нерж. сталь
,13042131,2,"G 1/4"" B EN 837",7...30 В DC,-1…+9 бар,"4...20 мA, 2-проводной",Нерж. сталь
,12920798,2,"G 1/4"" B EN 837",7...30 В DC,-1…+10 бар,"4...20 мA, 2-проводной",Нерж. сталь
