#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Инструмент,Параметр:Заказной код:Процесс
,SY-1-A-2-2-2,до 300 бар,"NPT 1/2"" внутр.","NPT 1/2"" наруж."
,SY-1-C-2-2-2,до 300 бар,"NPT 1/2"" внутр.","BSP 1/2"" наруж."
,SY-1-D-2-2-2,до 300 бар,"BSP 1/2"" внутр.","NPT 1/2"" наруж."
,SY-1-F-2-2-2,до 300 бар,"BSP 1/2"" внутр.","BSP 1/2"" наруж."
,SY-1-R-2-2-2,до 300 бар,M20x1.5 внутр.,M20x1.5 наруж.
,SY-1-B-2-2-2,до 300 бар,"NPT 1/2"" внутр.","Патрубок для приварки 1/2"""
,SY-1-E-2-2-2,до 300 бар,"BSP 1/2"" внутр.","Патрубок для приварки 1/2"""
,SY-1-P-2-2-2,до 300 бар,M20x1.5 внутр.,"Патрубок для приварки 1/2"""
